Site	Left	Right	Strand	Genes of transcription unit	Object ID
TU0-1192	3428940	3428762	-	EG30091 // EG30103 // EG30073 // EG30080 // EG30009 // EG30044 // EG30087	TU0-1192
TU0-1193	3882733	3882321	-	EG10828 // EG10242	TU0-1193
TU0-1194	3882590	3882321	-	EG10828 // EG10242	TU0-1194
TU0-1195	3882562	3882321	-	EG10828 // EG10242	TU0-1195
TU0-1196	3882348	3882321	-	EG10828 // EG10242	TU0-1196
TU0-1198	3639848	3639720	-	EG12231	TU0-1198
TU0-1201	1842308	1843714	+	EG10372	TU0-1201
TU0-1222	4375567	4376265	+	EG12099	TU0-1222
TU0-1241	4376794	4377192	+	EG11616	TU0-1241
TU0-1261	4448428	4449042	+	EG12096 // EG11250	TU0-1261
TU0-12785	4640402	4640542	+	G7954	TU0-12785
TU0-12786	4640942	4641628	+	EG12309	TU0-12786
TU0-12787	5234	5530	+	G6081	TU0-12787
TU0-12788	5683	6459	-	EG10011	TU0-12788
TU0-12789	6529	7959	-	EG11555	TU0-12789
TU0-12790	9306	9893	+	EG11511	TU0-12790
TU0-12791	9928	10494	-	EG11512	TU0-12791
TU0-12792	10643	11356	-	G6082	TU0-12792
TU0-12793	15445	16557	+	G6083	TU0-12793
TU0-12794	16751	16960	-	EG10373 // G0-9563	TU0-12794
TU0-12795	16952	17006	+	G0-9581	TU0-12795
TU0-12796	19811	20508	-	G6086 // G6085 // G0-10535	TU0-12796
TU0-12797	27293	28207	+	EG11082	TU0-12797
TU0-12799	45592	47138	+	EG11566	TU0-12799
TU0-12800	47246	49631	+	EG10521 // EG11568	TU0-12800
TU0-12801	57364	58179	+	EG11570	TU0-12801
TU0-12802	58474	59279	+	EG12611 // EG12610	TU0-12802
TU0-12804	71271	72115	+	EG11571	TU0-12804
TU0-12805	77338	77299	-	EG12094 // G0-9381 // EG11574 // EG11573 // EG11572	TU0-12805
TU0-12806	77367	78799	+	G0-10617 // EG11754 // G0-9941	TU0-12806
TU0-12807	84188	85312	+	EG10531	TU0-12807
TU0-12808	87947	89032	+	EG10338	TU0-12808
TU0-12809	106508	107544	+	EG10265	TU0-12809
TU0-1281	710829	710725	-	G0-10580 // EG10359	TU0-1281
TU0-12810	111649	113219	-	EG12312 // EG12313 // EG12314	TU0-12810
TU0-12811	117705	117549	-	EG12107 // EG12106 // EG11798	TU0-12811
TU0-12812	118663	118645	-	EG11546	TU0-12812
TU0-12813	134339	134750	+	EG12605	TU0-12813
TU0-12815	142779	144472	+	EG12321 // EG12320	TU0-12815
TU0-12816	144577	145017	+	EG12322	TU0-12816
TU0-12817	145081	146310	+	EG11749	TU0-12817
TU0-12818	149715	150953	-	EG11678	TU0-12818
TU0-12819	162105	164534	+	EG12329	TU0-12819
TU0-1282	711521	711465	-	G0-10580 // EG10359 // EG10318	TU0-1282
TU0-12820	164721	167264	+	EG10605	TU0-12820
TU0-12821	175107	176528	+	EG12331	TU0-12821
TU0-12822	179183	179153	-	EG11090 // EG12334 // EG12333	TU0-12822
TU0-12823	179196	180754	+	EG10225	TU0-12823
TU0-12825	183709	184095	-	EG12336	TU0-12825
TU0-12826	184257	185069	-	EG12337	TU0-12826
TU0-12827	185123	189506	-	EG10570 // EG11411 // EG10207	TU0-12827
TU0-1283	710723	710646	-	EG10359	TU0-1283
TU0-12831	193521	196534	+	EG10139 // G6092 // EG12715	TU0-12831
TU0-12832	211877	212266	+	G6095	TU0-12832
TU0-12833	212331	213629	+	G6096	TU0-12833
TU0-12834	214187	214125	-	G372 // G6097	TU0-12834
TU0-12835	214280	215979	+	EG12137 // EG12354 // G6098	TU0-12835
TU0-12836	216179	217003	-	EG12138	TU0-12836
TU0-12837	218887	219995	-	EG11502 // EG11503	TU0-12837
TU0-12838	222806	223408	+	EG11736	TU0-12838
TU0-12839	229098	229970	+	EG11648	TU0-12839
TU0-12840	231064	232549	+	EG11651 // EG11650	TU0-12840
TU0-12841	232597	233955	-	EG10246	TU0-12841
TU0-12842	234027	234782	-	G6099	TU0-12842
TU0-12843	236067	236798	+	EG10243	TU0-12843
TU0-12844	237335	238120	+	G6101	TU0-12844
TU0-12846	243543	244121	+	G6106	TU0-12846
TU0-12847	244327	245094	+	G6107	TU0-12847
TU0-12848	245065	245805	-	G6108	TU0-12848
TU0-12849	246615	246502	-	G6110 // G6109	TU0-12849
TU0-12850	246712	247461	+	G6111	TU0-12850
TU0-12851	247637	248134	+	G6112	TU0-12851
TU0-12852	250072	250827	+	G6114	TU0-12852
TU0-12853	250880	253161	+	G6118 // G6117 // G6116 // G6115	TU0-12853
TU0-12854	251969	253161	+	G6118 // G6117 // G6116	TU0-12854
TU0-12855	253467	254202	+	EG11496 // G6119	TU0-12855
TU0-12857	256502	257771	+	EG11091	TU0-12857
TU0-12859	263328	266553	-	G6126 // G6125 // G6124 // G6123 // G6122 // G0-10432 // G6121 // G6120	TU0-12859
TU0-12860	267184	268960	-	G6128 // G6127	TU0-12860
TU0-12861	269289	270182	-	G6129	TU0-12861
TU0-12862	270226	272190	+	G6131 // G6130	TU0-12862
TU0-12863	272847	273992	+	G6133	TU0-12863
TU0-12864	275325	277647	+	G6136 // G6135	TU0-12864
TU0-12865	277756	279875	-	G6139 // G6138 // G0-10537 // G6137 // EG12340	TU0-12865
TU0-12866	280114	281983	-	EG12338 // EG12339 // G0-10433	TU0-12866
TU0-12867	282278	285168	+	G6141 // G6140	TU0-12867
TU0-12868	285395	288399	+	G6143 // G6142	TU0-12868
TU0-12869	288404	289162	-	G6144	TU0-12869
TU0-12870	290649	291346	-	G6146 // G6145 // G0-10538	TU0-12870
TU0-12871	293118	292948	-	G6148	TU0-12871
TU0-12872	293220	294799	-	G6150 // G6149	TU0-12872
TU0-12873	295139	295579	-	G6151	TU0-12873
TU0-12874	295696	297096	-	G6152	TU0-12874
TU0-12875	297381	297791	-	G6153	TU0-12875
TU0-12876	297770	302573	-	G6157 // G6156 // G6155 // G6154	TU0-12876
TU0-12877	303853	304182	-	G6159	TU0-12877
TU0-12878	310119	310026	-	G6163 // G6162 // G6161 // G6160	TU0-12878
TU0-12879	310797	310671	-	G6164	TU0-12879
TU0-12880	311393	311336	-	G6165	TU0-12880
TU0-12881	312805	312777	-	G6167 // G0-10434	TU0-12881
TU0-12882	314357	316453	+	G6169 // G6168 // G0-10525 // EG12161	TU0-12882
TU0-12883	316450	317136	-	G6170	TU0-12883
TU0-12884	317726	318567	-	G6173 // G6171	TU0-12884
TU0-12885	320215	320001	-	G6171 // G6173 // G6174	TU0-12885
TU0-12886	320227	321081	+	G6175	TU0-12886
TU0-12887	321608	324453	+	G6178 // G6177 // G6176	TU0-12887
TU0-12888	324696	325364	-	G6180	TU0-12888
TU0-12889	332039	333459	+	EG11236	TU0-12889
TU0-12890	333501	334433	-	G6181	TU0-12890
TU0-12891	334525	335022	-	G6182	TU0-12891
TU0-12892	335280	339743	+	G6186 // G6185 // G6184 // G6183	TU0-12892
TU0-12893	339769	340089	+	G0-10550	TU0-12893
TU0-12894	340165	342507	+	G6189 // G6188	TU0-12894
TU0-12895	342884	343933	+	G6190	TU0-12895
TU0-12896	344176	344991	+	G6191	TU0-12896
TU0-12897	345404	345649	+	G6192	TU0-12897
TU0-12900	375386	376670	+	G6206	TU0-12900
TU0-12901	376772	377311	+	G6207	TU0-12901
TU0-12902	377535	379881	-	G6209 // EG50010 // G6208	TU0-12902
TU0-12903	380069	380842	-	G6210	TU0-12903
TU0-12904	381351	382579	+	G6213 // G6212 // G0-10541	TU0-12904
TU0-12905	380844	382872	-	G6214	TU0-12905
TU0-12906	382739	383935	-	G6215	TU0-12906
TU0-12908	389754	389727	-	EG10428	TU0-12908
TU0-12910	391739	392901	-	G6224 // G6223 // G0-10529	TU0-12910
TU0-12912	394506	395129	+	G6226	TU0-12912
TU0-12913	401319	401646	+	EG11256	TU0-12913
TU0-12914	405764	406222	+	G6230	TU0-12914
TU0-12915	408148	408461	+	EG12159	TU0-12915
TU0-12916	408574	408950	+	G6231	TU0-12916
TU0-12917	416977	416952	-	EG11094 // EG10927	TU0-12917
TU0-12918	419488	422359	+	G6233 // EG12168	TU0-12918
TU0-12919	430605	430952	+	EG11097	TU0-12919
TU0-12920	432312	432851	-	EG12874	TU0-12920
TU0-12921	432977	437107	+	EG10704 // G6234 // EG10666 // EG11322 // EG11321 // EG11320	TU0-12921
TU0-12924	443051	444515	-	G6239 // G198	TU0-12924
TU0-12925	446687	446666	-	G6241	TU0-12925
TU0-12926	452070	453545	-	EG12183	TU0-12926
TU0-12927	454210	454167	-	EG12182	TU0-12927
TU0-12928	454993	456431	+	EG11003	TU0-12928
TU0-12931	463937	464308	+	G6243	TU0-12931
TU0-12932	464360	464800	+	G6244	TU0-12932
TU0-12933	464852	465547	-	G6245	TU0-12933
TU0-12934	465612	467312	-	EG13217	TU0-12934
TU0-12935	467412	468230	+	G6246	TU0-12935
TU0-12936	468352	468841	+	G6247	TU0-12936
TU0-12937	468871	472417	+	EG11622 // G6248	TU0-12937
TU0-12938	476448	476561	+	EG30027	TU0-12938
TU0-12939	476672	477025	+	EG11099	TU0-12939
TU0-12940	477067	478617	-	G6252	TU0-12940
TU0-12941	479288	479251	-	G6253	TU0-12941
TU0-12942	479367	479918	-	G58	TU0-12942
TU0-12943	480794	480708	-	EG12429 // EG10439	TU0-12943
TU0-12944	486492	489898	+	G6255	TU0-12944
TU0-12945	490110	490812	-	EG10765 // EG12830	TU0-12945
TU0-12946	490882	491259	+	EG12843	TU0-12946
TU0-12947	491310	491963	+	EG10051	TU0-12947
TU0-12948	492056	494023	+	EG10245	TU0-12948
TU0-12951	498031	499017	+	EG10431	TU0-12951
TU0-12952	503295	503238	-	EG12623	TU0-12952
TU0-12953	503476	504696	-	G6256	TU0-12953
TU0-12955	513993	514400	+	G6263	TU0-12955
TU0-12956	515823	515773	-	G6265 // G6264	TU0-12956
TU0-12957	515903	517362	+	G6267 // G6266	TU0-12957
TU0-12959	519733	522830	+	G6270 // EG11657	TU0-12959
TU0-12960	523261	529130	+	EG11770 // G6271 // EG11769 // EG10849	TU0-12960
TU0-12961	529645	530016	-	G6273	TU0-12961
TU0-12962	546680	551332	+	EG12384 // G6289 // G6288 // G6287	TU0-12962
TU0-12963	553218	554437	-	EG10758 // EG12666	TU0-12963
TU0-12964	556032	556553	-	EG12708	TU0-12964
TU0-12965	557781	557741	-	EG10328 // EG12879	TU0-12965
TU0-12966	558212	558754	+	G6290	TU0-12966
TU0-12967	558974	562300	+	G6292 // G6291	TU0-12967
TU0-12968	562336	563845	+	EG12388 // G6293	TU0-12968
TU0-12969	566098	566361	-	G6295	TU0-12969
TU0-12970	566376	566687	+	G0-10555	TU0-12970
TU0-12971	566842	568004	+	G6297 // G6296 // G0-10530	TU0-12971
TU0-12973	568902	570428	+	G6300	TU0-12973
TU0-12974	570893	572251	+	G6302 // G6301	TU0-12974
TU0-12975	572466	573870	+	G0-10435 // G6306 // G6305 // G6304 // G6303	TU0-12975
TU0-12976	573956	574339	+	G6307	TU0-12976
TU0-12978	578327	578509	+	G0-10436	TU0-12978
TU0-12979	579184	579594	-	G6313	TU0-12979
TU0-12980	579880	580086	+	G6314	TU0-12980
TU0-12981	580834	581379	+	EG11635	TU0-12981
TU0-12982	581534	582097	+	G6315	TU0-12982
TU0-12983	582875	583060	+	G6317	TU0-12983
TU0-12985	603416	604663	-	G6323	TU0-12985
TU0-12987	605518	605886	-	G6324	TU0-12987
TU0-12988	605951	606199	-	G6325	TU0-12988
TU0-12989	606265	607383	-	G6326	TU0-12989
TU0-12990	608065	609177	+	G6327	TU0-12990
TU0-12991	632182	632379	+	G0-10438	TU0-12991
TU0-12992	634747	635376	-	G6330	TU0-12992
TU0-12993	636686	636569	-	G6331	TU0-12993
TU0-12994	636716	637618	-	G6332	TU0-12994
TU0-12995	638800	638573	-	G6333	TU0-12995
TU0-12996	643557	643967	-	G6337	TU0-12996
TU0-12997	645034	645003	-	EG10856	TU0-12997
TU0-12998	645117	646580	-	G6338	TU0-12998
TU0-12999	651952	651856	-	G6344 // G6343 // G6342 // G6341 // G6340 // G6339	TU0-12999
TU0-13000	651984	654542	+	G6346 // G6345	TU0-13000
TU0-13001	657250	657501	+	EG12179	TU0-13001
TU0-13002	658031	658818	+	EG12208	TU0-13002
TU0-13003	658947	659150	+	EG11305	TU0-13003
TU0-13004	660301	660216	-	EG11306	TU0-13004
TU0-13005	660425	661378	-	EG11594	TU0-13005
TU0-13006	661637	662278	-	EG11591	TU0-13006
TU0-13007	662379	662642	-	EG11592	TU0-13007
TU0-13008	662752	663963	-	EG10201	TU0-13008
TU0-13009	669072	669036	-	EG11255 // EG11254 // EG10606 // EG10607 // EG10854	TU0-13009
TU0-13010	669296	674783	-	EG10532 // EG10855 // EG11412 // G6350 // G6349	TU0-13010
TU0-13011	676711	678842	+	G6353 // G6352	TU0-13011
TU0-13012	679508	681663	+	G6356 // G6355	TU0-13012
TU0-13013	681723	683393	-	G6357	TU0-13013
TU0-13014	683477	684412	-	G6358	TU0-13014
TU0-13015	687997	688977	-	G6360	TU0-13015
TU0-13016	689343	691784	-	G6361 // EG10168	TU0-13016
TU0-13017	691874	693378	-	G6363 // G6362	TU0-13017
TU0-13018	693531	694955	-	G6364	TU0-13018
TU0-13021	708236	710116	+	G0-17083 // G6371 // G6370	TU0-13021
TU0-13022	709790	710116	+	G6371	TU0-13022
TU0-13023	712038	712802	-	EG11776	TU0-13023
TU0-13024	715412	715906	+	G6374	TU0-13024
TU0-13025	729134	729340	+	EG11521	TU0-13025
TU0-13026	729583	734102	+	EG11522 // EG10848	TU0-13026
TU0-13027	734220	736219	+	EG11523 // G6376	TU0-13027
TU0-13028	736445	736699	+	G0-10440	TU0-13028
TU0-13029	736900	737961	+	G6377	TU0-13029
TU0-13030	738092	738853	+	EG11524	TU0-13030
TU0-13031	746723	747769	-	G6384	TU0-13031
TU0-13032	747921	752169	-	G6387 // G6386 // G6385	TU0-13032
TU0-13033	752229	752795	-	EG12359	TU0-13033
TU0-13034	781068	781222	+	G6390 // G6389	TU0-13034
TU0-13035	781369	781444	+	G6391	TU0-13035
TU0-13036	781577	781843	+	G6392	TU0-13036
TU0-13037	782061	783885	+	EG11700 // EG10630	TU0-13037
TU0-13038	783882	784823	-	G6393	TU0-13038
TU0-13039	784937	785317	-	G6394	TU0-13039
TU0-13040	792316	794644	-	G6395 // EG11677	TU0-13040
TU0-13041	794751	794922	+	G6396	TU0-13041
TU0-13042	800759	801811	+	G6399	TU0-13042
TU0-13043	801887	803320	+	G6400	TU0-13043
TU0-13044	803503	805764	+	G6401	TU0-13044
TU0-13045	807321	807281	-	EG12875	TU0-13045
TU0-13046	807433	807909	-	EG11238	TU0-13046
TU0-13047	819858	820588	+	G6403	TU0-13047
TU0-13048	820793	821506	+	G6404	TU0-13048
TU0-13049	821542	824497	-	G6407 // G6406 // G6405	TU0-13049
TU0-13050	830669	830643	-	EG12406 // G6412 // G6411 // G6410 // G6409	TU0-13050
TU0-13051	836351	837436	+	EG11581	TU0-13051
TU0-13052	837665	837925	-	EG12422	TU0-13052
TU0-13053	838484	838456	-	EG12421	TU0-13053
TU0-13054	838530	839207	-	G6413	TU0-13054
TU0-13056	842153	842056	-	G6415	TU0-13056
TU0-13057	843255	845480	-	G6417	TU0-13057
TU0-13058	849210	850097	-	EG12134	TU0-13058
TU0-13059	853098	854765	+	G6421 // G6420	TU0-13059
TU0-13060	857796	859061	-	G6424	TU0-13060
TU0-13061	859213	860028	-	G6425	TU0-13061
TU0-13062	860174	863511	-	G6427 // G6426	TU0-13062
TU0-13063	866537	872801	+	G6432 // G6431 // G6430 // G6429 // EG12407	TU0-13063
TU0-13064	872979	876663	+	G6434 // G6433	TU0-13064
TU0-13065	878248	878631	+	G6436	TU0-13065
TU0-13066	878742	879857	+	G6437	TU0-13066
TU0-13067	881976	882734	-	EG10223	TU0-13067
	884946	885230	-		
TU0-13069	885316	887339	-	G6443 // G6442	TU0-13069
TU0-13070	888057	888057	-	G0-8880	TU0-13070
TU0-13071	888134	889819	-	G6445	TU0-13071
TU0-13072	897989	899645	+	G6449 // G6448	TU0-13072
TU0-13073	904517	905743	+	G6452 // G6451	TU0-13073
TU0-13074	905740	906753	-	G6453	TU0-13074
TU0-13075	906852	911049	-	EG10754 // G6455 // G6454	TU0-13075
TU0-13076	914895	914857	-	G6458	TU0-13076
TU0-13077	926728	927432	-	EG11112	TU0-13077
TU0-13078	932078	932050	-	EG11032	TU0-13078
TU0-13079	937328	939337	+	EG12690 // G6465	TU0-13079
TU0-13080	939365	940765	+	EG10947	TU0-13080
TU0-13081	945871	947019	+	EG11242	TU0-13081
TU0-13082	947229	948659	+	G6466	TU0-13082
TU0-13083	951154	951080	-	EG10028	TU0-13083
TU0-13084	954872	956632	-	G6468	TU0-13084
TU0-13085	956762	957454	+	G6469	TU0-13085
TU0-13086	960264	961028	+	G6470	TU0-13086
TU0-13087	964320	970621	+	G6471 // EG11409 // EG10613 // EG12375	TU0-13087
TU0-13088	970642	971598	+	EG10519 // G6472	TU0-13088
TU0-13089	971672	972645	+	G6473	TU0-13089
TU0-13090	980931	982894	+	EG11253	TU0-13090
TU0-13091	983023	984297	+	G6475 // G6474	TU0-13091
TU0-13093	989044	988985	-	EG10094	TU0-13093
TU0-13094	997868	998407	+	G6480	TU0-13094
TU0-13095	998490	1004657	+	EG12397 // G6485 // G6484 // G6483 // G6482 // G6481	TU0-13095
TU0-13096	1005952	1006494	+	G6486	TU0-13096
TU0-13098	1016539	1018299	-	G6493	TU0-13098
TU0-13099	1024365	1024348	-	G6496 // G6495	TU0-13099
TU0-13100	1027041	1027015	-	G6497	TU0-13100
TU0-13101	1027837	1027773	-	G6498	TU0-13101
TU0-13102	1028404	1028721	-	G6500	TU0-13102
TU0-13103	1028779	1029969	-	G6501	TU0-13103
TU0-13104	1030339	1030668	-	EG12876	TU0-13104
TU0-13105	1031443	1031418	-	EG11113	TU0-13105
TU0-13106	1042030	1045803	-	G6504 // G6503 // EG11826	TU0-13106
TU0-13107	1045849	1049332	-	G6507 // G6506 // G6505	TU0-13107
TU0-13108	1050702	1049744	-	G6508	TU0-13108
TU0-13109	1049833	1050530	+	G6509 // G0-10430 // G0-10536	TU0-13109
TU0-13110	1051847	1052240	+	G0-9662 // G6512	TU0-13110
TU0-13111	1052289	1053362	-	G6513	TU0-13111
TU0-13112	1053434	1056178	-	G6514	TU0-13112
TU0-13113	1064036	1065292	+	EG12196	TU0-13113
TU0-13114	1067758	1067708	-	EG11540 // EG12703	TU0-13114
TU0-13115	1081307	1082185	+	G6525	TU0-13115
TU0-13116	1082243	1084647	+	EG11735 // G6527	TU0-13116
TU0-13117	1094275	1095437	-	G6534 // G6533 // G0-10531	TU0-13117
TU0-13118	1095544	1096829	+	G6536 // G6535	TU0-13118
TU0-13119	1097886	1098824	+	G6539	TU0-13119
TU0-13120	1098879	1100194	+	G6541 // G6540	TU0-13120
TU0-13121	1100252	1100787	+	G6542	TU0-13121
TU0-13122	1105201	1105725	+	G6549	TU0-13122
TU0-13123	1105803	1107776	+	G6551 // G6550	TU0-13123
TU0-13124	1113579	1113806	+	EG12689	TU0-13124
TU0-13125	1114264	1115490	-	EG11343	TU0-13125
TU0-13126	1119071	1119046	-	G6554 // EG11820	TU0-13126
TU0-13127	1120609	1120586	-	G6556 // G6555	TU0-13127
TU0-13128	1121509	1121487	-	G6558	TU0-13128
TU0-13129	1122713	1123273	-	EG11117	TU0-13129
TU0-13130	1124103	1124054	-	EG12688	TU0-13130
TU0-13131	1124118	1125326	-	G6559	TU0-13131
TU0-13132	1127839	1129374	+	G6561	TU0-13132
TU0-13133	1144502	1144822	+	G6563	TU0-13133
TU0-13134	1144940	1145899	+	EG11118	TU0-13134
TU0-13135	1153300	1157574	+	EG12303 // EG11500 // EG12302 // EG11494 // EG11493	TU0-13135
TU0-13136	1161885	1165685	+	G6568 // G6567 // G6566 // G6565 // G6564 // EG12172	TU0-13136
TU0-13137	1167599	1168138	+	EG12444	TU0-13137
TU0-13138	1170417	1170374	-	G6571	TU0-13138
TU0-13140	1174092	1175165	-	G6572	TU0-13140
TU0-13141	1175427	1178564	+	G6575 // G6574 // G6573	TU0-13141
TU0-13142	1178593	1180359	+	G6577 // G6576	TU0-13142
TU0-13143	1180479	1181725	-	G6579 // G6578	TU0-13143
TU0-13144	1187119	1188240	-	EG11430	TU0-13144
TU0-13145	1193827	1194951	-	G6581 // G6580	TU0-13145
TU0-13147	1196867	1198237	-	G6583 // G6582	TU0-13147
TU0-13148	1199679	1201380	-	G6586 // G6585 // EG12370	TU0-13148
TU0-13149	1201776	1202084	-	G6588	TU0-13149
TU0-13150	1202259	1202933	-	G6589	TU0-13150
TU0-13151	1203024	1208545	+	G6598 // EG12877 // G6597 // G6596 // G6595 // G6594 // G6593 // G6592 // G6591 // G6590	TU0-13151
TU0-13152	1208517	1209655	-	G6599 // EG11120	TU0-13152
TU0-13153	1209685	1210239	+	EG10737	TU0-13153
TU0-13154	1210346	1211179	+	EG10573	TU0-13154
TU0-13155	1211413	1211577	+	G0-10556	TU0-13155
TU0-13156	1212090	1212003	-	G6600	TU0-13156
TU0-13157	1212703	1213107	-	G6601	TU0-13157
TU0-13158	1214113	1214059	-	G6602	TU0-13158
TU0-13160	1215789	1216025	+	G6604	TU0-13160
TU0-13161	1216068	1216635	+	G6606 // G6605	TU0-13161
TU0-13162	1216748	1216996	+	G6607	TU0-13162
TU0-13163	1217328	1218851	+	G6608	TU0-13163
TU0-13164	1218983	1219201	+	G0-10261	TU0-13164
TU0-13165	1219601	1222248	+	G6609	TU0-13165
TU0-13167	1222305	1222988	-	G6612 // G6611	TU0-13167
TU0-13168	1223564	1223907	+	G0-10444	TU0-13168
TU0-13169	1227609	1228007	+	G6616	TU0-13169
TU0-13170	1228079	1228738	+	G6617	TU0-13170
TU0-13171	1228815	1229276	+	G6618	TU0-13171
TU0-13172	1232500	1233030	-	EG11393	TU0-13172
TU0-13173	1233176	1234717	-	EG11392	TU0-13173
TU0-13174	1240335	1242071	-	G6620	TU0-13174
TU0-13175	1242166	1243080	-	G6621	TU0-13175
TU0-13176	1244728	1244982	+	G6624	TU0-13176
TU0-13177	1245160	1245600	+	G6625	TU0-13177
TU0-13178	1253085	1255952	-	G6629	TU0-13178
TU0-13179	1259124	1260803	-	EG12392	TU0-13179
TU0-13180	1286709	1286984	+	G6631	TU0-13180
TU0-13181	1287066	1287236	-	G0-9609	TU0-13181
TU0-13182	1287782	1288624	-	EG11819	TU0-13182
TU0-13183	1289177	1289132	-	EG12119	TU0-13183
TU0-13184	1294426	1295322	-	G6632	TU0-13184
TU0-13185	1298598	1299245	+	EG11342	TU0-13185
TU0-13188	1310892	1310865	-	EG11607	TU0-13188
TU0-13189	1311848	1312246	-	EG11121	TU0-13189
TU0-13190	1313698	1313663	-	EG11123 // EG11122	TU0-13190
