bnumber	rank	strand	begin	end
b0087	88	+	96001	97084
b0088	89	+	97086	98403
b0089	90	+	98402	99647
b0090	91	+	99643	100711
b0091	92	+	100764	102240
b0092	93	+	102232	103153
b0093	94	+	103154	103985
b0094	95	+	103981	105244
b0095	96	+	105304	106456
b0096	97	+	106556	107474
b0097	98	+	107704	108217
b0098	99	+	108278	110984
b0099	100	+	111043	111433
b0101	101	-	111648	111846
b0102	102	-	111855	112599
b0103	103	-	112598	113219
b4727	104	+	113243	113288
b0104	105	+	113443	114487
b0106	106	-	114521	115724
b0107	107	-	115713	117099
b0108	108	-	117108	117549
b0109	109	-	117751	118645
b0110	110	+	118732	119284
b0111	111	+	119280	120135
b0112	112	-	120177	121551
b0113	113	+	122091	122856
b0114	114	+	123016	125680
b0115	115	+	125694	127587
b0116	116	+	127911	129336
b0117	117	-	129406	131260
b0118	118	+	131614	134212
b0119	119	+	134387	134750
b0120	120	-	134787	135582
b0121	121	-	135597	136464
b0122	122	-	136569	136917
b0123	123	+	137082	138633
b0124	124	-	138834	141225
b0125	125	+	141430	141967
b0126	126	-	142007	142670
b0127	127	+	142778	143705
b0128	128	+	143701	144472
b0129	129	+	144576	145017
b0130	130	+	145080	146310
b0131	131	-	146313	146694
b0132	132	+	146967	147870
b0133	133	-	147943	148795
b0134	134	-	148806	149601
b0135	135	-	149714	150953
b0136	136	-	151002	151599
b0137	137	-	151625	152231
b0138	138	-	152242	152812
b0139	139	-	152828	155426
b0140	140	-	155460	156201
b0141	141	-	156298	156883
b0142	142	-	157252	157732
b0143	143	-	157728	159126
b0144	144	-	159185	160112
b0145	145	-	160148	160604
b0146	146	-	160781	161486
b0147	147	-	161500	162031
b0148	148	+	162104	164534
b0149	149	+	164729	167264
b0149	150	+	164864	167264
b0150	151	+	167483	169727
b0151	152	+	169777	170575
b0152	153	+	170574	171465
b0153	154	+	171461	173444
b0154	155	-	173601	174882
b4765	156	+	175047	175095
b0155	157	+	175106	176528
b4728	158	+	176551	176617
b0156	159	+	176609	176954
b0157	160	-	177000	177624
b0158	161	-	177661	178462
b0159	162	-	178454	179153
b0160	163	+	179236	180754
b0161	164	+	180883	182308
b0162	165	+	182462	183620
b0163	166	-	183708	184095
b0164	167	-	184256	185069
b0166	168	-	185122	185947
b0167	169	-	185977	188650
b0168	170	-	188711	189506
b0169	171	+	189873	190599
b0170	172	+	190856	191708
b0171	173	+	191854	192580
b0172	174	+	192871	193429
b0173	175	+	193520	194717
b0174	176	+	194902	195664
b0175	177	+	195676	196534
b0176	178	+	196545	197898
b0177	179	+	197927	200360
b0178	180	+	200481	200967
b0179	181	+	200970	201996
b0180	182	+	202100	202556
b0181	183	+	202559	203348
b0182	184	+	203347	204496
b0183	185	+	204492	205089
b0184	186	+	205125	208608
b0185	187	+	208620	209580
b0186	188	+	209678	211820
b0187	189	+	211876	212266
b0188	190	+	212330	213629
b0189	191	-	213677	213932
b4406	192	-	213924	214125
b0190	193	+	214290	214836
b0191	194	+	214832	215255
b0192	195	+	215268	215979
b0193	196	-	216178	217003
b0194	197	-	217056	218775
b0195	198	-	218886	219594
b0196	199	-	219590	219995
b0197	200	-	220112	220928
b0198	201	-	220967	221621
b0199	202	-	221613	222645
b0200	203	+	222832	223408
b0207	204	+	229166	229970
b0208	205	-	229966	230881
b0209	206	+	231121	231922
b0210	207	+	231925	232549
b0211	208	-	232596	233955
b0212	209	-	234026	234782
b4815	210	+	234287	234320
b0213	211	+	234815	235538
b0214	212	-	235534	236002
b0215	213	+	236066	236798
b0217	214	+	237334	238120
b4586	215	-	238256	238736
b0219	216	-	239418	240189
b0220	217	+	240342	240816
b0221	218	-	240858	243303
b0222	219	+	243542	244121
b0223	220	+	244326	245094
b0224	221	-	245064	245805
b0225	222	-	245960	246239
b0226	223	-	246241	246502
b0227	224	+	246711	247461
b0228	225	+	247636	248134
b0231	226	+	250897	251953
b0232	227	+	252004	252298
b0233	228	+	252300	252699
b0234	229	+	252708	253161
b0237	230	-	254258	255716
b0238	231	+	255976	256435
b0239	232	+	256526	257771
b0240	233	+	257828	257899
b4710	234	-	257922	258426
b4709	235	-	258344	258620
b0241	236	-	259044	260100
b0242	237	+	260387	261491
b0243	238	+	261502	262756
b0245	239	-	263327	263669
b0246	240	-	263689	264007
b4504	241	-	264025	264247
b0247	242	-	264255	264732
b0248	243	-	264747	265206
b0249	244	-	265303	265543
b0250	245	-	265619	266087
b0251	246	-	266109	266553
b0252	247	-	267183	268005
b0253	248	-	268096	268960
b0254	249	-	269288	270182
b4587	250	+	270277	270540
b0256	251	+	270602	271754
b0258	252	+	272846	273992
b0259	253	-	274100	275081
b0260	254	+	275324	276728
b0261	255	+	276714	277647
b0262	256	-	277755	278802
b0264	257	-	279177	279681
b0265	258	-	279599	279875
b0266	259	-	280384	280735
b0267	260	-	280828	281983
b0268	261	+	282277	283186
b0269	262	+	283200	285168
b0270	263	+	285394	286777
b0271	264	+	286788	288399
b0272	265	-	288403	289162
b0273	266	-	289300	290305
b4766	267	-	290274	290370
b4688	268	+	290509	290638
b0274	269	-	290648	291152
b0275	270	-	291070	291346
b0276	271	+	291499	292231
b0277	272	-	292321	292948
b0278	273	-	293219	293918
b0279	274	-	293944	294799
b4729	275	-	294917	295142
b0280	276	-	295138	295579
b0281	277	-	295695	297096
b0282	278	-	297380	297791
b0283	279	-	297769	298726
b0284	280	-	298735	300934
b0285	281	-	300930	301887
b0286	282	-	301883	302573
b0287	283	+	302990	303605
b0288	284	-	303852	304182
b0289	285	-	304494	305205
b0290	286	-	305173	306817
b0291	287	-	306806	309332
b0292	288	-	309357	310026
b0293	289	-	310083	310671
b0294	290	-	310745	311336
b0295	291	+	312111	312339
b4506	292	-	312373	312514
b0296	293	-	312513	312777
b4671	294	-	313140	313242
b0298	295	+	315290	315590
b0299	296	+	315586	316453
b0301	297	-	317725	318319
b0303	298	-	318330	318567
b0304	299	-	318675	320001
b0305	300	+	320226	321081
b0306	301	+	321607	322327
b0307	302	+	322337	323765
b0308	303	+	323757	324453
b0310	304	-	324695	325364
b0311	305	-	325576	327247
b0312	306	-	327260	328733
b0313	307	-	328746	329334
b0314	308	+	329462	331496
b4730	309	+	331801	331876
b0315	310	+	332370	333459
b0316	311	-	333500	334433
b0317	312	-	334524	335022
b0318	313	+	335279	335885
b0319	314	+	335924	336788
b0320	315	+	336777	338325
b0321	316	+	338324	339743
b0322	317	+	339768	340089
b0323	318	+	340164	341115
b0324	319	+	341124	342507
b0325	320	+	342883	343933
b0326	321	+	344175	344991
b0327	322	+	345403	345649
b0328	323	-	345665	346337
b0329	324	+	346483	346759
b0330	325	-	346856	348443
b0331	326	+	348681	349572
b0333	327	+	350011	351181
b0334	328	+	351214	352666
b0335	329	+	352705	354592
b0336	330	+	354921	356181
b0337	331	+	356170	357454
b0338	332	-	357790	358690
b0339	333	+	358798	359458
b0340	334	+	359488	359959
b0341	335	+	359991	361146
b0342	336	-	361248	361860
b0343	337	-	361925	363179
b0344	338	-	363230	366305
b0345	339	-	366427	367510
b0346	340	-	367586	368420
b0347	341	+	368610	370275
b0348	342	+	370276	371221
b0349	343	+	371238	372105
b0350	344	+	372114	372924
b0351	345	+	372920	373871
b0352	346	+	373867	374881
b0353	347	+	375458	376670
b0354	348	+	376771	377311
b0355	349	-	377534	378368
b0356	350	-	378461	379571
b0357	351	-	379605	379881
b0358	352	-	380068	380842
b4579	353	-	382590	382872
b0360	354	+	381350	381716
b0361	355	+	381673	382579
b0363	356	-	382738	383935
b4731	357	+	383959	384079
b0364	358	-	384058	384616
b0365	359	+	385231	386194
b0366	360	+	386206	386974
b0367	361	+	386970	387798
b0368	362	+	387794	388646
b0369	363	-	388752	389727
b4580	364	+	390250	391708
b4767	365	-	391591	391648
b0372	366	-	391738	392605
b0373	367	-	392601	392901
b0375	368	+	394505	395129
b0376	369	-	395129	396287
b0377	370	+	396638	397859
b0378	371	+	397871	398966
b0379	372	-	399024	399333
b0380	373	+	399592	399805
b0381	374	-	399828	400923
b0382	375	+	401385	401646
b0383	376	+	401746	403162
b0384	377	+	403280	403601
b0385	378	+	403702	404818
b0386	379	-	404834	405644
b0387	380	+	405763	406222
b0388	381	+	406404	406929
b0389	382	+	406978	407170
b0390	383	+	407427	408105
b0391	384	+	408176	408461
b4732	385	+	408946	409030
b0393	386	-	409107	410019
b0394	387	+	410143	411052
b0396	388	-	411296	412481
b0397	389	-	412606	415753
b0398	390	-	415749	416952
b0399	391	+	417141	417831
b0400	392	+	417888	419184
b0401	393	+	419590	420910
b0402	394	+	420985	422359
b0403	395	+	422517	424332
b0404	396	-	424336	424918
b0405	397	+	425010	426081
b0406	398	+	426136	427264
b0407	399	+	427286	427619
b0408	400	+	427646	429494
b0409	401	+	429504	430476
b0410	402	+	430604	430952
b0411	403	-	431128	432013
b0412	404	-	432311	432851
b0413	405	+	433001	433451
b0414	406	+	433454	434558
b0415	407	+	434646	435117
b0416	408	+	435136	435556
b0417	409	+	435633	436611
b0418	410	+	436588	437107
b0419	411	-	437160	438135
b0420	412	-	438314	440177
b0421	413	-	440201	441101
b0422	414	-	441100	441343
b0423	415	+	441548	442997
b0424	416	-	443050	443641
b0425	417	-	443603	444515
b0426	418	+	444682	445174
b0427	419	-	445301	446666
b0428	420	-	446814	447705
b0429	421	-	447716	448046
b0430	422	-	448045	448660
b0431	423	-	448649	450641
b0432	424	-	450662	451610
b0433	425	-	452069	453545
b0434	426	-	453588	454167
b0435	427	+	454471	454789
b0436	428	+	455132	456431
b0437	429	+	456676	457300
b0438	430	+	457425	458700
b0439	431	+	458887	461242
b0440	432	+	461450	461723
b0441	433	+	461914	463786
b0442	434	+	463936	464308
b0443	435	+	464401	464800
b0444	436	-	464851	465547
b0445	437	-	465611	467312
b0446	438	+	467411	468230
b0447	439	+	468382	468841
b0448	440	+	468870	470643
b0449	441	+	470635	472417
b0450	442	+	472597	472936
b0451	443	+	472965	474252
b0452	444	-	474300	475161
b0453	445	+	475378	475951
b0454	446	-	475981	476371
b0456	447	+	476671	477025
b0457	448	-	477066	478617
b0458	449	-	478780	479251
b0459	450	-	479366	479918
b0460	451	-	480089	480308
b0461	452	-	480333	480708
b0462	453	-	481253	484403
b0463	454	-	484425	485619
b0464	455	+	485760	486408
b0465	456	+	486535	489898
b0466	457	-	490109	490271
b0467	458	-	490284	490812
b0468	459	+	490881	491259
b0469	460	+	491411	491963
b0470	461	+	492091	494023
b0470	462	+	492091	493375
b0471	463	+	494075	494405
b0472	464	+	494404	495010
b0473	465	+	495119	496994
b0474	466	+	497174	497819
b0475	467	+	498054	499017
b0476	468	-	499013	499973
b0477	469	+	500124	501429
b0478	470	-	501561	503238
b0479	471	-	503475	504696
b0480	472	+	504913	506566
b0481	473	-	506602	507082
b0482	474	-	507285	508080
b0483	475	+	508217	508559
b0484	476	-	508874	511379
b0484	477	-	511175	511379
b0485	478	+	511640	512573
b0486	479	+	512575	513868
b0487	480	+	513992	514400
b0488	481	-	514400	514859
b0489	482	-	514855	515773
b0490	483	+	515918	516596
b0491	484	+	516582	517362
b0492	485	-	517424	518279
b0493	486	-	518339	519149
b0494	487	-	519138	519765
b0495	488	+	519732	520419
b0496	489	+	520415	522830
b0497	490	+	523260	527541
b0498	491	+	527580	527949
b0502	492	-	529644	530016
b0503	493	-	530131	531226
b0504	494	-	531294	532221
b0505	495	+	532450	532933
b0506	496	+	533010	533826
b0507	497	+	533915	535697
b0508	498	+	535709	536486
b0509	499	+	536585	537464
b0511	500	+	537632	539087
b0512	501	+	539146	540508
b0513	502	+	540564	541866
b0514	503	+	541887	543033
b0515	504	-	543260	544046
b0516	505	-	544056	545292
b0517	506	-	545313	546363
b0518	507	+	546679	548347
b4572	508	+	548356	549616
b0520	509	+	549626	550442
b0521	510	+	550438	551332
b0522	511	-	551526	552594
b0523	512	-	552590	553100
b0524	513	-	553217	553940
b0525	514	-	553942	554437
b0526	515	+	554610	555996
b0527	516	-	556031	556553
b0528	517	-	556660	556873
b0529	518	-	556874	557741
b0530	519	+	558211	558754
b0531	520	+	558973	559666
b0532	521	+	559696	562300
b0533	522	+	562335	563319
b0534	523	+	563329	563845
b0535	524	-	563847	564480
b0537	525	-	564814	565978
b0542	526	+	566683	566776
b0540	527	+	566841	567141
b0541	528	+	567137	568004
b0543	529	+	568314	568647
b4733	530	+	568694	568844
b0544	531	+	568901	570428
b0545	532	+	570892	571444
b0546	533	+	571453	572251
b4588	534	+	572367	572469
b0547	535	+	572465	572921
b0548	536	+	572920	573091
b0549	537	+	573083	573374
b0550	538	+	573370	573733
b4509	539	+	573729	573870
b0551	540	+	573955	574339
b0553	541	-	575785	576825
b0552	542	-	574736	575717
b0554	543	+	577397	577613
b0555	544	+	577612	578110
b0556	545	+	578106	578568
b4510	546	+	578326	578509
b0557	547	-	578599	578893
b0558	548	-	579183	579594
b0559	549	+	579879	580086
b4589	550	-	580250	580445
b0560	551	+	580833	581379
b0561	552	+	581533	582097
b0563	553	+	582874	583060
b0564	554	+	583680	584430
b0565	555	-	584679	585633
b0566	556	-	586146	586908
b0567	557	-	587090	587981
b0568	558	-	587981	590954
b0569	559	-	590940	593178
b0570	560	-	593327	594770
b0571	561	-	594759	595443
b0572	562	+	595599	596973
b0573	563	+	597130	597463
b0574	564	+	597478	598702
b0575	565	+	598713	601857
b0576	566	+	601958	603335
b0577	567	-	603415	604663
b0578	568	-	604770	605424
b0579	569	-	605517	605886
b0580	570	-	605950	606199
b0581	571	-	606264	607383
b4415	572	+	607835	607988
b0582	573	+	608064	609177
b0583	574	-	609458	610079
b0584	575	-	610253	612494
b0585	576	+	612736	613939
b4511	577	+	613941	614160
b0586	578	+	614156	618038
b0587	579	+	618253	619387
b0588	580	-	619383	620199
b0589	581	-	620195	621188
b0590	582	-	621184	622189
b0591	583	+	622299	623550
b0592	584	-	623553	624510
b0593	585	+	624884	626060
b0594	586	+	626069	627680
b0595	587	+	627693	628551
b0596	588	+	628550	629297
b0597	589	+	629299	629713
b0598	590	+	629893	631999
b4512	591	+	632181	632379
b0599	592	-	632388	633477
b0600	593	+	633585	634746
b0601	594	-	634746	635376
b0602	595	-	635348	636569
b0603	596	-	636715	637618
b0604	597	-	637826	638573
b0605	598	+	638944	639508
b0606	599	+	639752	641318
b0607	600	-	641438	641867
b0608	601	+	642087	643326
b4734	602	-	643329	643419
b0610	603	-	643556	643967
b0611	604	-	644196	645003
b0612	605	-	645116	646580
b0613	606	-	646630	647509
b0614	607	-	647483	648035
b0615	608	-	648038	649571
b0616	609	-	649581	650490
b0617	610	-	650486	650783
b0618	611	-	650797	651856
b0619	612	+	652234	653893
b0620	613	+	653861	654542
b0621	614	-	654582	655968
b0622	615	+	656556	657117
b0623	616	+	657291	657501
b0624	617	-	657554	657938
b0627	618	+	658946	659150
b0628	619	-	659250	660216
b0629	620	-	660424	661378
b0630	621	-	661636	662278
b0631	622	-	662378	662642
b0632	623	-	662751	663963
b0633	624	-	664101	665190
b0634	625	-	665200	666313
b0635	626	-	666315	668217
b0636	627	-	668247	668715
b0637	628	-	668718	669036
b0638	629	-	669295	669907
b0639	630	-	669930	670572
b0640	631	-	670573	671605
b0641	632	-	671604	672186
b0642	633	-	672200	674783
b0643	634	+	675017	675500
b0644	635	-	675569	676547
b0645	636	+	676710	677418
b0646	637	+	677414	678842
b0647	638	-	678851	679406
b0648	639	+	679507	680215
b0649	640	+	680211	681663
b0650	641	-	681722	683393
b0651	642	-	683476	684412
b0652	643	-	684529	685255
b0653	644	-	685254	685929
b0654	645	-	685928	686669
b0655	646	-	686838	687747
b0656	647	-	687996	688977
b0657	648	-	689342	690881
b0658	649	-	690905	691784
b0659	650	-	691873	692341
b0660	651	-	692337	693378
b0661	652	-	693530	694955
b0662	653	+	695100	696276
b0674	654	-	697512	699177
b0675	655	-	699573	700326
b0676	656	-	700373	701594
b0677	657	-	701602	702751
b0678	658	-	702810	703611
b0679	659	+	703943	705890
b0680	660	+	706092	707757
b0681	661	+	708333	709740
b0682	662	+	709789	710116
b0683	663	-	710199	710646
b4637	664	-	710638	710725
b0684	665	-	710934	711465
b0685	666	-	711604	711898
b0686	667	-	712037	712802
b0687	668	+	712986	713532
b0688	669	+	713557	715198
b0689	670	+	715411	715906
b0692	671	-	716945	718265
b0693	672	-	718261	720460
b4803	673	-	720717	720822
b0694	674	-	721055	721733
b0695	675	-	721729	724414
b0696	676	-	724406	724979
b0697	677	-	724987	727036
b0698	678	-	727058	728732
b4513	679	-	728731	728821
b0699	680	+	729133	729340
b0700	681	+	729582	733776
b0702	682	+	733775	734102
b0704	683	+	735649	736219
b4514	684	+	736444	736699
b0706	685	+	738091	738853
b0707	686	+	739000	739510
b0708	687	+	739506	740925
b0709	688	-	741074	742556
b0710	689	+	742826	743570
b0711	690	+	743592	744249
b0712	691	+	744242	745175
b0713	692	+	745164	745899
b0714	693	+	745934	746726
b0715	694	-	746722	747769
b0716	695	-	747920	748982
b0717	696	-	748978	749707
b0718	697	-	749721	752169
b0719	698	-	752228	752795
b0720	699	-	753184	754468
b4768	700	-	754657	754690
b4735	701	-	754673	754781
b0721	702	+	755176	755566
b0722	703	+	755559	755907
b0723	704	+	755906	757673
b0724	705	+	757688	758405
b0726	706	+	758705	761507
b0727	707	+	761521	762739
b0728	708	+	763013	764180
b0729	709	+	764179	765049
b0730	710	-	765152	765875
b0731	711	+	765983	767960
b0732	712	+	767977	770611
b0733	713	+	771457	773026
b0734	714	+	773041	774181
b4515	715	+	774195	774309
b0735	716	+	774308	774602
b0736	717	+	774751	775156
b0737	718	+	775152	775845
b0738	719	+	775848	776277
b0739	720	+	776341	777607
b0740	721	+	777739	779032
b0741	722	+	779066	779588
b0742	723	+	779597	780389
b0750	724	+	782084	783128
b0751	725	+	783165	783885
b0752	726	-	783881	784823
b0753	727	-	784936	785317
b0754	728	+	785632	786685
b0755	729	-	786842	787595
b0756	730	-	787796	788837
b0757	731	-	788830	789979
b0758	732	-	789982	791029
b0759	733	-	791038	792055
b0760	734	-	792315	793788
b0761	735	-	793855	794644
b0762	736	+	794772	794922
b0763	737	+	795088	795862
b0764	738	+	795861	796551
b0765	739	+	796553	797612
b0766	740	-	797612	798431
b0767	741	+	798585	799581
b0768	742	-	799621	800575
b0769	743	+	800758	801811
b0770	744	+	801886	803320
b0771	745	+	803502	805764
b0772	746	-	805997	807281
b0773	747	-	807432	807909
b0774	748	-	807967	809257
b0775	749	+	809343	810384
b0776	750	+	810380	811535
b0777	751	+	811521	812277
b0778	752	+	812269	812947
b0779	753	+	813525	815547
b0780	754	-	815738	816647
b0781	755	+	817043	818033
b0782	756	+	818054	818567
b0783	757	+	818569	819055
b0784	758	+	819047	819293
b0785	759	+	819294	819747
b0786	760	+	819883	820588
b0787	761	+	820792	821506
b0788	762	-	821541	822498
b0789	763	-	822497	823739
b0790	764	-	823735	824497
b0791	765	+	824629	825040
b0792	766	-	825001	826108
b0793	767	-	826118	827252
b0794	768	-	827244	828981
b0795	769	-	828973	829972
b0796	770	-	829971	830643
b0797	771	+	830871	832236
b0798	772	-	832467	832950
b0799	773	+	833069	835220
b0800	774	+	835247	836210
b0801	775	+	836350	837436
b4769	776	+	837502	837562
b0802	777	-	837664	837925
b0803	778	-	838189	838456
b0804	779	-	838529	839207
b0805	780	-	839248	841531
b0806	781	-	841795	842056
b0807	782	+	842331	843258
b0808	783	-	843254	845480
b0809	784	-	845740	846463
b0810	785	-	846459	847119
b0811	786	-	847257	848004
b0812	787	-	848407	848911
b0813	788	-	849209	850097
b4736	789	+	850331	850397
b0814	790	+	850449	850965
b0815	791	-	851013	852597
b4705	792	-	852868	852997
b0817	793	+	853182	853650
b0818	794	+	853646	854765
b0819	795	-	854823	855744
b0820	796	+	855962	857555
b0821	797	-	857795	859061
b0822	798	-	859212	860028
b0823	799	-	860173	862606
b0824	800	-	862611	863511
b0825	801	+	863641	864304
b0826	802	-	864379	865129
b0827	803	-	865128	866364
b0828	804	+	866567	867533
b0829	805	+	867519	869391
b0830	806	+	869410	870949
b0831	807	+	870966	871887
b0832	808	+	871889	872801
b0833	809	+	872978	875327
b0834	810	+	875334	876663
b0835	811	-	876709	878035
b0836	812	+	878247	878631
b0837	813	+	878741	879857
b0838	814	-	879853	880480
b0839	815	+	880726	881929
b0840	816	-	881975	882734
b0841	817	-	882791	883388
b0842	818	+	883672	884905
b0843	819	-	884945	885230
b0844	820	-	885315	886131
b0845	821	-	886130	887339
b0846	822	+	887422	887959
b0847	823	-	888133	889819
b0848	824	+	890088	890466
b0849	825	-	890495	890753
b0850	826	+	890912	891200
b0851	827	+	891183	891906
b0852	828	+	891966	892869
b0853	829	+	892956	893433
b0854	830	+	893783	894896
b0855	831	+	894990	896124
b0856	832	+	896133	897087
b0857	833	+	897083	897929
b0858	834	+	897988	898477
b0859	835	+	898517	899645
b0860	836	-	899843	900575
b0861	837	-	900865	901534
b0862	838	-	901533	902250
b0863	839	-	902256	902988
b0864	840	-	903005	903734
b0865	841	-	903951	904467
b0866	842	+	904592	904916
b0867	843	+	904912	905743
b0868	844	-	905739	906753
b0869	845	-	906851	908282
b0870	846	-	908292	909294
b0871	847	-	909330	911049
b0872	848	-	911181	912150
b0873	849	-	912161	913814
b0874	850	-	913957	914857
b0875	851	-	915351	916047
b0876	852	+	916472	918131
b0877	853	-	918127	919120
b0878	854	+	919234	920350
b0879	855	+	920346	922293
b0880	856	-	922365	922590
b4770	857	+	922739	922814
b0881	858	+	922912	923233
b0882	859	+	923263	925540
b0884	860	-	926224	926443
b0885	861	-	926727	927432
b0886	862	-	927473	929195
b0887	863	-	929195	930962
b0888	864	-	931084	932050
b0889	865	+	932594	933089
b0890	866	+	933223	937213
b0891	867	+	937371	937983
b0892	868	+	937993	939337
b0893	869	+	939427	940720
b0894	870	+	940958	943403
b0895	871	+	943413	944031
b0896	872	+	944032	944896
b0897	873	-	944930	945557
b0898	874	+	945870	947019
b0899	875	+	947228	948659
b0900	876	-	948659	949568
b0901	877	+	949667	950258
b0902	878	-	950339	951080
b0903	879	-	951271	953554
b0904	880	-	953608	954466
b0905	881	-	954871	956632
b0906	882	+	956761	957454
b0907	883	+	957652	958741
b0908	884	+	958811	960095
b0909	885	+	960263	961028
b0910	886	+	961200	961884
b0911	887	+	961994	963668
b0912	888	+	963827	964112
b0913	889	+	964319	966584
b0914	890	+	966620	968369
b0915	891	+	968365	969352
b0916	892	+	969388	970621
b0917	893	+	970672	970855
b0918	894	+	970851	971598
b0919	895	+	971751	972645
b0920	896	-	972621	973401
b0921	897	+	973536	974322
b0922	898	+	974318	975641
b0923	899	+	975621	976326
b0924	900	+	976325	980786
b0925	901	+	981046	982894
b0926	902	+	983074	983623
b0927	903	+	983649	984297
b0928	904	-	984518	985709
b0929	905	-	985893	986982
b0930	906	-	987584	988985
b0931	907	-	989153	990356
b0932	908	+	990621	993234
b0933	909	-	993276	994044
b0934	910	-	994040	994832
b0935	911	-	994842	995988
b0936	912	-	995984	996944
b0937	913	-	996936	997512
b0938	914	+	997867	998407
b0939	915	+	998489	999191
b0940	916	+	999215	1001816
b0941	917	+	1001806	1002877
b0942	918	+	1002888	1003431
b0943	919	+	1003438	1003954
b0944	920	+	1003946	1004657
b0945	921	+	1004767	1005778
b0946	922	+	1005951	1006494
b0947	923	-	1006490	1007600
b0948	924	+	1007843	1009952
b0949	925	+	1009963	1011871
b0950	926	+	1012000	1013254
b0951	927	+	1013258	1014899
b0952	928	+	1014895	1015459
b0953	929	+	1015714	1015882
b0954	930	-	1015951	1016470
b0955	931	-	1016538	1018299
b0956	932	+	1018484	1018937
b0957	933	-	1019012	1020053
b0958	934	-	1020409	1020919
b0959	935	+	1021137	1021767
b0960	936	-	1021729	1023883
b0961	937	-	1023901	1024348
b0962	938	+	1024470	1026525
b0963	939	-	1026556	1027015
b0964	940	-	1027110	1027773
b0965	941	+	1027945	1028359
b0966	942	-	1028403	1028721
b0967	943	-	1028778	1029969
b0968	944	+	1030063	1030342
b0969	945	-	1030338	1030668
b0970	946	-	1030758	1031418
b0972	947	+	1032138	1033257
b0973	948	+	1033253	1035047
b0974	949	+	1035065	1035773
b0975	950	+	1035769	1036357
b0976	951	+	1036353	1036752
b0977	952	+	1036748	1037606
b0978	953	+	1037739	1039284
b0979	954	+	1039295	1040432
b4592	955	+	1040444	1040537
b0980	956	+	1040616	1041915
b0981	957	-	1042029	1044210
b0982	958	-	1044229	1044676
b0983	959	-	1044663	1045803
b0984	960	-	1045848	1047945
b0985	961	-	1047944	1048691
b0986	962	-	1048687	1049332
b0987	963	-	1049438	1049744
b4516	964	+	1049832	1050108
b0988	965	+	1050026	1050530
b0989	966	-	1050962	1051175
b0990	967	+	1051460	1051673
b4723	968	+	1051683	1051872
b0991	969	+	1051846	1052077
b4517	970	+	1052066	1052240
b0992	971	-	1052288	1053362
b0993	972	-	1053433	1056178
b0994	973	+	1056260	1057289
b0995	974	-	1057261	1057954
b0996	975	+	1058083	1059256
b0997	976	+	1059255	1061802
b0998	977	+	1061798	1062398
b0999	978	-	1062549	1062855
b1000	979	-	1062854	1063775
b1001	980	+	1064035	1065292
b1002	981	+	1065584	1066826
b1003	982	-	1066863	1067091
b1004	983	-	1067111	1067708
b4518	984	+	1068080	1068254
b1006	985	-	1068510	1069839
b1007	986	-	1069859	1070354
b1008	987	-	1070364	1070955
