Entry	Gene Names (ordered locus)	Entry Name	Gene Ontology IDs	InterPro	Keywords
P00550	b3599 JW3573	PTM3C_ECOLI	GO:0005886; GO:0005887; GO:0009401; GO:0015797; GO:0016301; GO:0016310; GO:0022872; GO:0090563; GO:0090565	IPR016152;IPR002178;IPR036095;IPR013011;IPR003501;IPR029503;IPR003352;IPR013014;IPR004718;	3D-structure;Cell inner membrane;Cell membrane;Kinase;Membrane;Phosphoprotein;Phosphotransferase system;Reference proteome;Sugar transport;Transferase;Transmembrane;Transmembrane helix;Transport
P00561	b0002 JW0001	AK1H_ECOLI	GO:0004072; GO:0004412; GO:0005524; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0042802; GO:0050661; GO:0051289	IPR036393;IPR045865;IPR002912;IPR041743;IPR001048;IPR005106;IPR001341;IPR018042;IPR011147;IPR027795;IPR001342;IPR019811;IPR036291;	3D-structure;Allosteric enzyme;Amino-acid biosynthesis;ATP-binding;Direct protein sequencing;Kinase;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome;Repeat;Threonine biosynthesis;Transferase
P00562	b3940 JW3911	AK2H_ECOLI	GO:0004072; GO:0004412; GO:0005524; GO:0005829; GO:0009086; GO:0009088; GO:0009089; GO:0009090; GO:0016310; GO:0050661	IPR036393;IPR041743;IPR001048;IPR005106;IPR001341;IPR042199;IPR018042;IPR011147;IPR001342;IPR019811;IPR036291;	Amino-acid biosynthesis;ATP-binding;Direct protein sequencing;Kinase;Methionine biosynthesis;Multifunctional enzyme;NADP;Nucleotide-binding;Oxidoreductase;Reference proteome;Transferase
P00579	b3067 JW3039	RPOD_ECOLI	GO:0000345; GO:0003677; GO:0005829; GO:0006352; GO:0009408; GO:0016987; GO:0045892; GO:1903865; GO:2000142	IPR014284;IPR000943;IPR009042;IPR007627;IPR007624;IPR007630;IPR007631;IPR007127;IPR042189;IPR013325;IPR013324;IPR012760;IPR028630;IPR036388;	3D-structure;Cytoplasm;Direct protein sequencing;DNA-binding;Reference proteome;Sigma factor;Transcription;Transcription regulation
P00582	b3863 JW3835	DPO1_ECOLI	GO:0003677; GO:0003887; GO:0005737; GO:0005829; GO:0006260; GO:0006261; GO:0006281; GO:0006284; GO:0006302; GO:0008408; GO:0008409	IPR002562;IPR020046;IPR002421;IPR036279;IPR019760;IPR001098;IPR043502;IPR020045;IPR018320;IPR002298;IPR008918;IPR029060;IPR012337;IPR036397;	3D-structure;Direct protein sequencing;DNA damage;DNA repair;DNA replication;DNA-binding;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase
P00634	b0383 JW0374	PPB_ECOLI	GO:0000287; GO:0004035; GO:0004721; GO:0006470; GO:0008270; GO:0016311; GO:0030288; GO:0030613; GO:0033748; GO:0042597	IPR001952;IPR018299;IPR017850;	3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Magnesium;Metal-binding;Periplasm;Phosphoprotein;Reference proteome;Signal;Zinc
P00722	b0344 JW0335	BGAL_ECOLI	GO:0000287; GO:0004565; GO:0005990; GO:0009341; GO:0030246; GO:0031420; GO:0042802	IPR004199;IPR036156;IPR011013;IPR008979;IPR014718;IPR006101;IPR023232;IPR023933;IPR006103;IPR023230;IPR006102;IPR006104;IPR017853;IPR013783;IPR032312;	3D-structure;Direct protein sequencing;Glycosidase;Hydrolase;Magnesium;Manganese;Metal-binding;Reference proteome;Sodium
P00803	b2568 JW2552	LEP_ECOLI	GO:0004175; GO:0004252; GO:0005886; GO:0005887; GO:0006465; GO:0006508; GO:0008233; GO:0016021; GO:0016485	IPR036286;IPR000223;IPR019758;IPR019757;IPR019756;IPR019533;IPR019766;	3D-structure;Cell inner membrane;Cell membrane;Disulfide bond;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix
P00804	b0027 JW0025	LSPA_ECOLI	GO:0004175; GO:0004190; GO:0005886; GO:0005887; GO:0006508; GO:0097304	IPR001872;	Aspartyl protease;Cell inner membrane;Cell membrane;Hydrolase;Membrane;Protease;Reference proteome;Transmembrane;Transmembrane helix
P00805	b2957 JW2924	ASPG2_ECOLI	GO:0004067; GO:0006530; GO:0030288; GO:0032991; GO:0042597; GO:0042802; GO:0051289	IPR004550;IPR036152;IPR006034;IPR020827;IPR027475;IPR040919;IPR027473;IPR027474;IPR037152;	3D-structure;Direct protein sequencing;Disulfide bond;Hydrolase;Periplasm;Pharmaceutical;Reference proteome;Signal
P00811	b4150 JW4111	AMPC_ECOLI	GO:0008800; GO:0017001; GO:0030288; GO:0046677	IPR001466;IPR012338;IPR001586;	3D-structure;Antibiotic resistance;Direct protein sequencing;Hydrolase;Periplasm;Reference proteome;Signal
P00861	b2838 JW2806	DCDA_ECOLI	GO:0008836; GO:0009089; GO:0030170	IPR009006;IPR002986;IPR022643;IPR022657;IPR022644;IPR022653;IPR000183;IPR029066;	3D-structure;Amino-acid biosynthesis;Decarboxylase;Lyase;Lysine biosynthesis;Pyridoxal phosphate;Reference proteome
P00864	b3956 JW3928	CAPP_ECOLI	GO:0000287; GO:0005829; GO:0006094; GO:0006099; GO:0006107; GO:0008964; GO:0015977; GO:0042802; GO:0051289	IPR021135;IPR022805;IPR018129;IPR033129;IPR015813;	3D-structure;Allosteric enzyme;Carbon dioxide fixation;Lyase;Magnesium;Reference proteome
P00893	b0077 JW0076	ILVI_ECOLI	GO:0000287; GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:0030976; GO:0050660	IPR012846;IPR039368;IPR029035;IPR029061;IPR012000;IPR012001;IPR000399;IPR045229;IPR011766;	Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Direct protein sequencing;FAD;Flavoprotein;Magnesium;Metal-binding;Reference proteome;Thiamine pyrophosphate;Transferase
P00894	b0078 JW0077	ILVH_ECOLI	GO:0003984; GO:0005829; GO:0005948; GO:0009082; GO:0009097; GO:0009099; GO:1990610	IPR004789;IPR027271;IPR019455;IPR045865;IPR002912;IPR039557;	3D-structure;Amino-acid biosynthesis;Branched-chain amino acid biosynthesis;Reference proteome;Transferase
P00903	b3360 JW3323	PABA_ECOLI	GO:0000162; GO:0006541; GO:0009356; GO:0046654; GO:0046656; GO:0046820	IPR029062;IPR017926;IPR006221;	Folate biosynthesis;Glutamine amidotransferase;Reference proteome;Transferase
P00904	b1263 JW1255	TRPGD_ECOLI	GO:0000162; GO:0000287; GO:0002047; GO:0004048; GO:0004049; GO:0005950; GO:0006541	IPR005940;IPR029062;IPR017926;IPR000312;IPR017459;IPR036320;IPR035902;IPR006221;	Allosteric enzyme;Amino-acid biosynthesis;Aromatic amino acid biosynthesis;Direct protein sequencing;Glutamine amidotransferase;Glycosyltransferase;Lyase;Multifunctional enzyme;Reference proteome;Transferase;Tryptophan biosynthesis
P00914	b0708 JW0698	PHR_ECOLI	GO:0000719; GO:0003677; GO:0003684; GO:0003904; GO:0007603; GO:0009416; GO:0071949	IPR036134;IPR036155;IPR005101;IPR002081;IPR018394;IPR006050;IPR014729;	3D-structure;Chromophore;DNA damage;DNA repair;DNA-binding;FAD;Flavoprotein;Lyase;Nucleotide-binding;Reference proteome
P00926	b2366 JW2363	SDHD_ECOLI	GO:0005737; GO:0005829; GO:0006974; GO:0008721; GO:0009097; GO:0016836; GO:0030170; GO:0036088; GO:0051410; GO:0070178	IPR011780;IPR001926;IPR000634;IPR036052;	3D-structure;Direct protein sequencing;Lyase;Pyridoxal phosphate;Reference proteome
P00935	b3939 JW3910	METB_ECOLI	GO:0003962; GO:0004123; GO:0005737; GO:0009086; GO:0016846; GO:0019343; GO:0019346; GO:0030170; GO:0102028	IPR000277;IPR011821;IPR015424;IPR015421;IPR015422;	3D-structure;Amino-acid biosynthesis;Cytoplasm;Direct protein sequencing;Methionine biosynthesis;Pyridoxal phosphate;Reference proteome;Transferase
P00936	b3806 JW3778	CYAA_ECOLI	GO:0004016; GO:0005524; GO:0005737; GO:0006171	IPR000274;IPR024686;IPR024685;	ATP-binding;cAMP biosynthesis;Cytoplasm;Lyase;Nucleotide-binding;Phosphoprotein;Reference proteome
P00946	b1613 JW1605	MANA_ECOLI	GO:0004476; GO:0005829; GO:0008270; GO:0009242; GO:0009298; GO:0019309	IPR001250;IPR016305;IPR018050;IPR014710;IPR011051;	Acetylation;Cytoplasm;Isomerase;Metal-binding;Reference proteome;Zinc
P00956	b0026 JW0024	SYI_ECOLI	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:0008270; GO:0046677	IPR001412;IPR002300;IPR033708;IPR002301;IPR023585;IPR013155;IPR014729;IPR009080;IPR009008;IPR010663;	Acetylation;Aminoacyl-tRNA synthetase;Antibiotic resistance;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;Zinc
P00957	b2697 JW2667	SYA_ECOLI	GO:0000049; GO:0001217; GO:0002161; GO:0002196; GO:0004813; GO:0005524; GO:0005829; GO:0006400; GO:0006419; GO:0008270; GO:0016020; GO:0016597; GO:0042802; GO:0045892	IPR045864;IPR002318;IPR018162;IPR018165;IPR018164;IPR023033;IPR003156;IPR018163;IPR009000;IPR012947;	3D-structure;Acetylation;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding;Zinc
P00959	b2114 JW2101	SYM_ECOLI	GO:0000049; GO:0004825; GO:0005524; GO:0005829; GO:0006431; GO:0008270; GO:0016020	IPR001412;IPR041872;IPR004495;IPR023458;IPR014758;IPR015413;IPR033911;IPR029038;IPR012340;IPR014729;IPR002547;IPR009080;	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Metal-binding;Nucleotide-binding;Protein biosynthesis;Reference proteome;RNA-binding;tRNA-binding;Zinc
P00962	b0680 JW0666	SYQ_ECOLI	GO:0004819; GO:0005524; GO:0005829; GO:0006424; GO:0006425	IPR001412;IPR004514;IPR022861;IPR000924;IPR020058;IPR020059;IPR020061;IPR020056;IPR011035;IPR014729;	3D-structure;Aminoacyl-tRNA synthetase;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Protein biosynthesis;Reference proteome
P00963	b3744 JW3722	ASNA_ECOLI	GO:0004071; GO:0005524; GO:0005829; GO:0006529; GO:0006974; GO:0042802; GO:0070981	IPR006195;IPR045864;IPR004618;	3D-structure;Amino-acid biosynthesis;Asparagine biosynthesis;ATP-binding;Cytoplasm;Direct protein sequencing;Ligase;Nucleotide-binding;Reference proteome
P00968	b0033 JW0031	CARB_ECOLI	GO:0000166; GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006526; GO:0006541; GO:0006807; GO:0008652; GO:0016597; GO:0019856; GO:0044205; GO:0046872	IPR011761;IPR006275;IPR005480;IPR036897;IPR005479;IPR005483;IPR011607;IPR036914;IPR033937;IPR016185;	3D-structure;Amino-acid biosynthesis;Arginine biosynthesis;ATP-binding;Direct protein sequencing;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Pyrimidine biosynthesis;Reference proteome;Repeat
P02358	b4200 JW4158	RS6_ECOLI	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0015935; GO:0022627; GO:0048027; GO:0070181	IPR000529;IPR020815;IPR020814;IPR035980;IPR014717;	3D-structure;Acetylation;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding
P02359	b3341 JW3303	RS7_ECOLI	GO:0000028; GO:0000049; GO:0002181; GO:0003729; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627	IPR000235;IPR005717;IPR020606;IPR023798;IPR036823;	3D-structure;Direct protein sequencing;Reference proteome;Ribonucleoprotein;Ribosomal protein;RNA-binding;rRNA-binding;tRNA-binding
P02916	b4033 JW3993	MALF_ECOLI	GO:0005886; GO:0005887; GO:0006974; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:1902344; GO:1990060; GO:1990154	IPR030156;IPR035277;IPR029345;IPR000515;IPR035906;	3D-structure;Cell inner membrane;Cell membrane;Membrane;Reference proteome;Sugar transport;Transmembrane;Transmembrane helix;Transport
P02918	b3396 JW3359	PBPA_ECOLI	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0016021; GO:0046677; GO:0071555	IPR012338;IPR001264;IPR023346;IPR036950;IPR031376;IPR001460;	Antibiotic resistance;Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P02919	b0149 JW0145	PBPB_ECOLI	GO:0005887; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0009274; GO:0010165; GO:0016020; GO:0030288; GO:0046677; GO:0051518; GO:0071433	IPR012338;IPR001264;IPR023346;IPR032730;IPR011813;IPR036950;IPR001460;IPR028166;	3D-structure;Alternative initiation;Antibiotic resistance;Carboxypeptidase;Cell inner membrane;Cell membrane;Cell shape;Cell wall biogenesis/degradation;Direct protein sequencing;Glycosyltransferase;Hydrolase;Membrane;Multifunctional enzyme;Peptidoglycan synthesis;Protease;Reference proteome;Signal-anchor;Transferase;Transmembrane;Transmembrane helix
P02920	b0343 JW0334	LACY_ECOLI	GO:0005351; GO:0005886; GO:0005887; GO:0008643; GO:0015528; GO:0015767; GO:0016020; GO:0016021; GO:0030395; GO:0071702	IPR000576;IPR018457;IPR020846;IPR036259;	3D-structure;Cell inner membrane;Cell membrane;Formylation;Membrane;Reference proteome;Sugar transport;Symport;Transmembrane;Transmembrane helix;Transport
P02921	b4120 JW4081	MELB_ECOLI	GO:0005886; GO:0005887; GO:0015487; GO:0015592; GO:0015765; GO:0015769; GO:0043887; GO:0071702	IPR039672;IPR036259;IPR001927;IPR018043;	Cell inner membrane;Cell membrane;Direct protein sequencing;Membrane;Reference proteome;Sugar transport;Symport;Transmembrane;Transmembrane helix;Transport
P02924	b1901 JW1889	ARAF_ECOLI	GO:0015407; GO:0016020; GO:0030246; GO:0030288; GO:0042882; GO:0048029; GO:0055052	IPR026266;IPR001761;IPR028082;	3D-structure;Direct protein sequencing;Periplasm;Reference proteome;Signal;Sugar transport;Transport
P02925	b3751 JW3730	RBSB_ECOLI	GO:0015752; GO:0016020; GO:0030288; GO:0048029; GO:0050918; GO:0055052	IPR028082;IPR025997;	3D-structure;Chemotaxis;Direct protein sequencing;Periplasm;Reference proteome;Signal;Sugar transport;Transport
P02929	b1252 JW5195	TONB_ECOLI	GO:0005886; GO:0009279; GO:0015031; GO:0015343; GO:0015889; GO:0015891; GO:0016020; GO:0019904; GO:0030288; GO:0030313; GO:0031992; GO:0042914; GO:0055065; GO:0055072; GO:0071575; GO:0098002; GO:0098797; GO:1902495	IPR003538;IPR006260;IPR037682;	3D-structure;Bacteriocin transport;Cell inner membrane;Cell membrane;Membrane;Protein transport;Reference proteome;Repeat;Signal-anchor;Transmembrane;Transmembrane helix;Transport
P02930	b3035 JW5503	TOLC_ECOLI	GO:0005216; GO:0009279; GO:0009410; GO:0009636; GO:0014070; GO:0015125; GO:0015288; GO:0015562; GO:0015721; GO:0016020; GO:0016021; GO:0030288; GO:0034220; GO:0042802; GO:0042930; GO:0045203; GO:0046677; GO:0047485; GO:0098567; GO:0140330; GO:1990196; GO:1990281; GO:1990961	IPR003423;IPR010130;	3D-structure;Antibiotic resistance;Cell outer membrane;Direct protein sequencing;Membrane;Reference proteome;Repeat;Signal;Transmembrane;Transmembrane beta strand;Transport
P02931	b0929 JW0912	OMPF_ECOLI	GO:0001530; GO:0005216; GO:0008289; GO:0009279; GO:0015288; GO:0016021; GO:0034220; GO:0034702; GO:0042802; GO:0042912; GO:0046930; GO:0047485; GO:0097718	IPR033900;IPR023614;IPR001897;IPR001702;IPR013793;	3D-structure;Cell outer membrane;Direct protein sequencing;Ion transport;Membrane;Porin;Reference proteome;Signal;Transmembrane;Transmembrane beta strand;Transport
P02942	b4355 JW4318	MCP1_ECOLI	GO:0004888; GO:0005887; GO:0006935; GO:0007165; GO:0007172; GO:0009593; GO:0032110; GO:0042802; GO:0043113; GO:0048870; GO:0050920; GO:0071230; GO:0098561; GO:1902021	IPR035440;IPR004090;IPR004091;IPR003660;IPR004089;IPR003122;	3D-structure;Cell inner membrane;Cell membrane;Chemotaxis;Direct protein sequencing;Membrane;Methylation;Reference proteome;Transducer;Transmembrane;Transmembrane helix
P02943	b4036 JW3996	LAMB_ECOLI	GO:0001618; GO:0006811; GO:0006974; GO:0009279; GO:0015144; GO:0015288; GO:0015481; GO:0015774; GO:0042956; GO:0042958; GO:0045203; GO:0046930	IPR023738;IPR003192;IPR036998;	3D-structure;Cell outer membrane;Direct protein sequencing;Disulfide bond;Host cell receptor for virus entry;Host-virus interaction;Ion transport;Membrane;Porin;Receptor;Reference proteome;Signal;Sugar transport;Transmembrane;Transmembrane beta strand;Transport
P03004	b3702 JW3679	DNAA_ECOLI	GO:0003677; GO:0003688; GO:0005524; GO:0005829; GO:0005886; GO:0006260; GO:0006268; GO:0006270; GO:0006275; GO:0009898; GO:0030174; GO:0032297; GO:0032298; GO:0042802; GO:0043565; GO:1990078; GO:1990082; GO:1990084; GO:1990101; GO:1990102; GO:1990103	IPR003593;IPR001957;IPR020591;IPR018312;IPR013317;IPR013159;IPR024633;IPR038454;IPR027417;IPR010921;	3D-structure;Acetylation;ATP-binding;Cytoplasm;DNA replication;DNA replication inhibitor;DNA-binding;Nucleotide-binding;Reference proteome;Repressor;Transcription;Transcription regulation
P03007	b0215 JW0205	DPO3E_ECOLI	GO:0003677; GO:0003887; GO:0004527; GO:0005829; GO:0006261; GO:0006272; GO:0006273; GO:0008408; GO:0009360; GO:0030894; GO:0044776; GO:0045004; GO:0046872	IPR006054;IPR006309;IPR013520;IPR012337;IPR036397;	3D-structure;DNA replication;DNA-directed DNA polymerase;Exonuclease;Hydrolase;Magnesium;Manganese;Metal-binding;Nuclease;Nucleotidyltransferase;Reference proteome;Transferase
P03018	b3813 JW3786	UVRD_ECOLI	GO:0000717; GO:0000725; GO:0003677; GO:0003678; GO:0005524; GO:0005829; GO:0006268; GO:0006289; GO:0006298; GO:0009314; GO:0009432; GO:0015616; GO:0016887; GO:0017116; GO:0017117; GO:0031297; GO:0032508; GO:0033202; GO:0043138; GO:0070581; GO:0070716	IPR013986;IPR005753;IPR014017;IPR000212;IPR027417;IPR014016;	3D-structure;ATP-binding;Direct protein sequencing;DNA damage;DNA repair;DNA replication;DNA-binding;Helicase;Hydrolase;Nucleotide-binding;Reference proteome;SOS response
P03023	b0345 JW0336	LACI_ECOLI	GO:0000976; GO:0000987; GO:0001217; GO:0003700; GO:0005829; GO:0006355; GO:0042802; GO:0045892	IPR000843;IPR046335;IPR010982;IPR028082;	3D-structure;Direct protein sequencing;DNA-binding;Reference proteome;Repressor;Transcription;Transcription regulation
P03819	b0047 JW0046	KEFC_ECOLI	GO:0000166; GO:0005886; GO:0005887; GO:0006813; GO:0006885; GO:0009636; GO:0015299; GO:0015503; GO:0015643; GO:0016020; GO:0019899; GO:0051453; GO:0051454; GO:0051595; GO:1903103	IPR006153;IPR004771;IPR023941;IPR006036;IPR038770;IPR036291;IPR003148;	3D-structure;Antiport;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
P03959	b0698 JW0686	KDPA_ECOLI	GO:0005886; GO:0005887; GO:0006813; GO:0008556; GO:0030955; GO:0031004; GO:0071805; GO:0098655; GO:1903103	IPR004623;	3D-structure;Cell inner membrane;Cell membrane;Ion transport;Membrane;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
P03960	b0697 JW0685	KDPB_ECOLI	GO:0000287; GO:0005524; GO:0005886; GO:0005887; GO:0006813; GO:0008556; GO:0016021; GO:0016887; GO:0031004; GO:0071805; GO:0098655; GO:1903103	IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006391;IPR001757;IPR044492;	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Magnesium;Membrane;Metal-binding;Nucleotide-binding;Phosphoprotein;Potassium;Potassium transport;Reference proteome;Translocase;Transmembrane;Transmembrane helix;Transport
P03961	b0696 JW0684	KDPC_ECOLI	GO:0005524; GO:0005886; GO:0005887; GO:0006813; GO:0008556; GO:0031004; GO:0071805; GO:0098655; GO:1903103	IPR003820;	3D-structure;ATP-binding;Cell inner membrane;Cell membrane;Ion transport;Membrane;Nucleotide-binding;Potassium;Potassium transport;Reference proteome;Transmembrane;Transmembrane helix;Transport
P04036	b0031 JW0029	DAPB_ECOLI	GO:0005829; GO:0008652; GO:0008839; GO:0009089; GO:0016726; GO:0019877; GO:0042802; GO:0050661; GO:0051287	IPR022663;IPR000846;IPR022664;IPR023940;IPR036291;	3D-structure;Amino-acid biosynthesis;Cytoplasm;Diaminopimelate biosynthesis;Direct protein sequencing;Lysine biosynthesis;NAD;NADP;Oxidoreductase;Reference proteome
P04079	b2507 JW2491	GUAA_ECOLI	GO:0003921; GO:0003922; GO:0005524; GO:0005829; GO:0006177; GO:0006541; GO:0016462; GO:0042802	IPR029062;IPR017926;IPR001674;IPR004739;IPR022955;IPR025777;IPR022310;IPR014729;	3D-structure;ATP-binding;Direct protein sequencing;Glutamine amidotransferase;GMP biosynthesis;Ligase;Nucleotide-binding;Purine biosynthesis;Reference proteome
P04152	b1184 JW1173	UMUC_ECOLI	GO:0003684; GO:0003697; GO:0003887; GO:0005886; GO:0006974; GO:0008094; GO:0009355; GO:0009432; GO:0016020; GO:0016021; GO:0019985; GO:0042276	IPR043502;IPR036775;IPR017961;IPR025188;IPR024728;IPR043128;IPR001126;	DNA damage;DNA repair;Reference proteome;SOS mutagenesis;SOS response
P04391	b4254 JW4211	OTC1_ECOLI	GO:0004585; GO:0009348; GO:0016597; GO:0019240; GO:0042450; GO:0046872	IPR006132;IPR006130;IPR036901;IPR006131;IPR002292;IPR024904;	3D-structure;Allosteric enzyme;Amino-acid biosynthesis;Arginine biosynthesis;Cytoplasm;Direct protein sequencing;Metal-binding;Reference proteome;Transferase;Zinc
P04395	b2068 JW2053	3MG2_ECOLI	GO:0003905; GO:0005737; GO:0006281; GO:0006284; GO:0006285; GO:0006307; GO:0006974; GO:0008725; GO:0032131; GO:0032993; GO:0043916; GO:0052821; GO:0052822	IPR010316;IPR037046;IPR000035;IPR011257;IPR003265;IPR023170;	3D-structure;Direct protein sequencing;DNA damage;DNA repair;Hydrolase;Reference proteome
P04425	b2947 JW2914	GSHB_ECOLI	GO:0000287; GO:0004363; GO:0005524; GO:0005737; GO:0005829; GO:0006750; GO:0016879	IPR011761;IPR013815;IPR006284;IPR004218;IPR004215;IPR016185;	3D-structure;ATP-binding;Direct protein sequencing;Glutathione biosynthesis;Ligase;Magnesium;Manganese;Metal-binding;Nucleotide-binding;Reference proteome
P04693	b4054 JW4014	TYRB_ECOLI	GO:0004838; GO:0005737; GO:0005829; GO:0006532; GO:0008483; GO:0008793; GO:0009098; GO:0019292; GO:0030170; GO:0033585; GO:0042802; GO:0050048; GO:0080130	IPR004839;IPR000796;IPR004838;IPR015424;IPR015421;IPR015422;	3D-structure;Amino-acid biosynthesis;Aminotransferase;Aromatic amino acid biosynthesis;Cytoplasm;Pyridoxal phosphate;Reference proteome;Transferase
