Pathways	Genes of pathway	Object ID	Common-Name
PWY0-1554	G7021 // G7020 // EG12167	PWY0-1554	5-(methoxycarbonylmethoxy)uridine biosynthesis
PWY-6121	EG10794 // EG10792 // EG10799 // EG10797 // EG10798	PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I
PWY-6122	EG10794 // EG10792 // EG10797 // EG10798 // EG11809	PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II
PWY-6147	EG11374 // EG11673 // EG11138 // EG11375	PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I
PWY-6519	EG10122 // EG12606 // EG10274 // EG11528 // EG11284 // EG11318 // EG10119 // EG10121 // EG50003	PWY-6519	8-amino-7-oxononanoate biosynthesis I
PWY0-1312	EG10027 // EG20173 // G7288	PWY0-1312	acetate and ATP formation from acetyl-CoA I
PWY0-1313	EG11448	PWY0-1313	acetate conversion to acetyl-CoA
ACETOACETATE-DEG-PWY	EG11672 // EG11670 // EG11669 // EG12432	ACETOACETATE-DEG-PWY	acetoacetate degradation (to acetyl CoA)
PWY-6012	EG11095 // EG10247 // EG12221 // EG10264 // EG10260 // EG50003	PWY-6012	acyl carrier protein metabolism
PWY-6605	EG10051 // EG11082	PWY-6605	adenine and adenosine salvage II
PWY-6609	G85 // EG10222 // EG12159 // EG12097 // EG10030 // EG20098 // EG10414	PWY-6609	adenine and adenosine salvage III
PWY-6611	EG10222 // EG12159 // EG12097 // EG10030 // EG11102	PWY-6611	adenine and adenosine salvage V
PWY-7220	EG10660 // EG10661 // EG20257 // EG12381 // EG10650 // EG11417 // EG11031 // EG11887 // G7401	PWY-7220	adenosine deoxyribonucleotides <i>de novo</i> biosynthesis II
SALVADEHYPOX-PWY	EG10222 // G85 // EG12159 // EG12097 // EG10030 // G7485 // G7486 // G7487 // EG11934 // EG10634 // EG11817 // EG11060 // EG10727	SALVADEHYPOX-PWY	adenosine nucleotides degradation II
PWY-6617	EG10039 // EG12373	PWY-6617	adenosine nucleotides degradation III
PWY-7219	EG10790 // EG11314 // EG10032	PWY-7219	adenosine ribonucleotides <i>de novo</i> biosynthesis
PWY-5509	EG12150 // G6349 // EG12151	PWY-5509	adenosylcobalamin biosynthesis from adenosylcobinamide-GDP I
PWY-6268	EG10130	PWY-6268	adenosylcobalamin salvage from cobalamin
PWY-7971	EG13238 // EG10130	PWY-7971	adenosylcobinamide-GDP salvage from cobinamide I
PWY0-1241	G7590 // EG11736 // EG10838 // G6106	PWY0-1241	ADP-L-<i>glycero</i>-&beta;-D-<i>manno</i>-heptose biosynthesis
PWY0-1519	EG10150 // EG10146	PWY0-1519	Aerotactic Two-Component Signal Transduction System
PWY-8072	EG10564 // EG10583 // EG10001 // EG11408	PWY-8072	alanine racemization
PWY0-41	G6281 // G6285 // G6284 // G6287 // G6286 // EG10135 // EG10134 // EG12384	PWY0-41	allantoin degradation IV (anaerobic)
PWY-5705	G6275 // G6281 // G6285 // G6284	PWY-5705	allantoin degradation to glyoxylate III
PWY-5698	G6281 // G6285 // G6284	PWY-5698	allantoin degradation to ureidoglycolate II (ammonia producing)
PWY0-1303	EG10963 // EG10131 // G6094	PWY0-1303	aminopropylcadaverine biosynthesis
AMMASSIM-PWY	EG10383 // EG10810 // EG10420 // EG10450 // EG10448 // EG10403 // EG10404 // EG10683 // EG10682 // EG11028 // EG11027 // EG10092 // EG10135 // EG10134 // G6810 // G6261	AMMASSIM-PWY	ammonia assimilation cycle III
PWY0-1261	G7263 // G6880 // G6567 // EG10041 // G6452 // EG10632 // EG11553 // EG11198 // G6621 // EG12440 // EG11358 // EG11205 // EG12183 // G6622 // G7457 // G7410 // G7533 // EG10246 // EG10950 // EG11373	PWY0-1261	peptidoglycan recycling I
PWY0-1505	EG10061 // EG10062	PWY0-1505	ArcAB Two-Component Signal Transduction System, quinone dependent
PWY0-1299	EG11501	PWY0-1299	arginine dependent acid resistance
PWY-4621	EG12237 // EG10417 // G7401 // EG12688 // EG12294	PWY-4621	arsenic detoxification (yeast)
PWY0-781	EG10999 // EG11000 // EG10096 // EG10209 // EG10549 // EG10208 // EG10066 // EG10946 // EG10207 // EG10205 // EG10088 // EG10550 // EG10206 // EG10581 // EG10584 // EG10582 // EG10587 // EG10583 // EG10564 // G6350 // EG10663 // EG11546 // EG10630 // EG10631 // EG10589	PWY0-781	aspartate superpathway
SO4ASSIM-PWY	EG10189 // EG10191 // EG10190 // EG10186 // EG10194 // EG10185 // EG11031 // EG11887	SO4ASSIM-PWY	assimilatory sulfate reduction I
PWY0-1474	EG11668 // EG11667	PWY0-1474	AtoSC Two-Component Signal Transduction System
PWY-7980	EG10099 // EG10103 // EG10102 // EG10101 // EG10104 // EG10098 // EG10105 // EG10100	PWY-7980	ATP biosynthesis
PWY-6153	EG11090 // EG12712	PWY-6153	autoinducer AI-2 biosynthesis I
PWY0-1569	G6804 // G6798 // G6805	PWY0-1569	autoinducer AI-2 degradation
PWY0-1481	EG11618 // EG11617	PWY0-1481	BaeSR Two-Component Signal Transduction System
PWY0-1501	EG11140 // EG11367	PWY0-1501	BarA UvrY Two-Component Signal Transduction System
PWY0-1482	EG11614 // EG11615	PWY0-1482	BasSR Two-Component Signal Transduction System
PWY-5155	EG11747	PWY-5155	&beta;-alanine biosynthesis III
PWY-7247	G81 // EG11055	PWY-7247	&beta;-D-glucuronide and D-glucuronate degradation
PWY0-1507	G6851 // EG10120 // EG10117 // EG10118 // G1 // EG11328	PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I
BIOTIN-BIOSYNTHESIS-PWY	EG10122 // EG12606 // EG10274 // EG11528 // EG11284 // EG11318 // EG10119 // EG10121 // G6851 // EG10120 // EG10117 // EG10118 // EG50003 // G1 // EG11328	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I
PWY0-1264	EG10123 // EG10276 // EG11647 // EG10217	PWY0-1264	biotin-carboxyl carrier protein assembly
PWY-7639	EG11829	PWY-7639	bis(guanylyl molybdenum cofactor) biosynthesis
PWY-8164	EG11859 // G7325	PWY-8164	<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation
PWY0-1559	EG12006 // EG12007	PWY0-1559	BtsSR Two-Component Signal Transduction System
PWY0-1601	EG10131 // G6094	PWY0-1601	cadaverine biosynthesis
PWY-5668	EG10704 // EG10705 // EG11371 // EG11608 // G6406 // EG10706	PWY-5668	cardiolipin biosynthesis I
PWY0-1545	EG10706 // EG10704 // EG10705 // EG11371 // G6551	PWY0-1545	cardiolipin biosynthesis III
PWY-5667	EG10139 // EG11377 // EG10740 // EG20091	PWY-5667	CDP-diacylglycerol biosynthesis I
PWY0-1319	EG20091 // EG11377 // EG10139 // EG10740 // EG50003	PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY0-1518	EG10150 // EG10147 // EG10146	PWY0-1518	Chemotactic Two-Component Signal Transduction
PWY0-1309	EG12198 // EG10144	PWY0-1309	chitobiose degradation
PWY-6163	EG10075 // EG10073 // EG10082 // EG10081 // EG10077 // EG10076	PWY-6163	chorismate biosynthesis from 3-dehydroquinate
ARO-PWY	EG10074 // EG10079 // EG10080 // EG10078 // EG10075 // EG10073 // EG10082 // EG10081 // EG10077 // EG10076	ARO-PWY	chorismate biosynthesis I
PWY-6690	G7334 // G7336 // M015 // M009 // M011 // M012 // G7335 // M010	PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-hydroxypentadienoate
PWY-5973	EG11542 // EG12606 // EG11318 // EG11284 // EG11528 // EG50003	PWY-5973	<i>cis</i>-vaccenate biosynthesis
PWY-6038	G6343 // G6341 // G6342	PWY-6038	citrate degradation
P2-PWY	G6340 // G6339 // G6344 // G6343 // G6341 // G6342	P2-PWY	citrate lyase activation
PWY-7205	EG11265 // EG10650 // EG10032	PWY-7205	CMP phosphorylation
PWY-1269	EG10519 // G7663 // EG10518 // G7662 // EG10973	PWY-1269	CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis
COA-PWY	EG11190 // EG12312 // EG10004	COA-PWY	coenzyme A biosynthesis I (bacteria)
PWY-8243	G7098 // EG11790 // G7099 // G7100 // G7102 // G7103 // G7095 // G7096 // G7097 // G7101 // G7104	PWY-8243	colanic acid (<i>Escherichia coli</i> K12) biosynthesis
COLANSYN-PWY	EG11787 // EG11788 // G7463 // EG10702 // EG10566 // EG10162 // EG10161 // EG11319 // EG12144 // EG10362 // G7091	COLANSYN-PWY	colanic acid building blocks biosynthesis
PWY0-43	EG11444 // G7516 // G7517	PWY0-43	conversion of succinate to propanoate
PWY0-1485	EG10163 // EG10020	PWY0-1485	CpxAR Two-Component Signal Transduction System
PWY0-1487	EG11218 // EG10730	PWY0-1487	CreCB Two-Component Signal Transduction System
PWY0-1527	G6760	PWY0-1527	curcumin degradation
PWY0-1512	G6318 // G6319	PWY0-1512	CusSR Two-Component Signal Transduction System
CYANCAT-PWY	EG10176 // EG10175	CYANCAT-PWY	cyanate degradation
PWY0-541	EG11531	PWY0-541	cyclopropane fatty acid (CFA) biosynthesis
PWY-6476	G7496	PWY-6476	cytidylyl molybdenum cofactor biosynthesis
PWY-8147	EG12178 // EG12052 // EG12054 // EG12053 // EG11096 // EG10940 // EG10938 // EG10766 // EG12095 // EG10939 // EG11197 // EG12058 // EG12059 // EG12057 // EG12169 // EG11031 // EG11887 // EG12055 // EG11781 // EG12060 // EG11945 // G7023 // EG11815 // EG11297	PWY-8147	cytochrome <i>c</i> biogenesis (system I type)
PWY0-44	EG11827 // EG11957 // EG11956	PWY0-44	D-allose degradation
DARABCATK12-PWY	EG10349 // EG10350 // EG10348 // EG10035	DARABCATK12-PWY	D-arabinose degradation II
PWY-7242	EG20248 // EG11066 // EG12253 // EG10256	PWY-7242	D-fructuronate degradation
GALACTARDEG-PWY	EG10016 // EG11176 // EG12522 // EG11175 // G6283	GALACTARDEG-PWY	D-galactarate degradation I
GALACTCAT-PWY	EG20051 // EG20049 // GB4478	GALACTCAT-PWY	D-galactonate degradation
GALACTUROCAT-PWY	EG12734 // EG12253 // EG11065 // G81 // EG10256	GALACTUROCAT-PWY	D-galacturonate degradation I
GLUCARDEG-PWY	EG10016 // EG11176 // G7445 // EG11175 // G6283	GLUCARDEG-PWY	<i>D</i>-glucarate degradation I
GLUCONSUPER-PWY	EG12152 // EG12629	GLUCONSUPER-PWY	D-gluconate degradation
PWY0-1602	G6653 // G6652 // G6651	PWY0-1602	D-gulosides conversion to D-glucosides
PWY0-1565	EG10231 // EG10181 // EG10178 // EG10179 // EG10180	PWY0-1565	D-lactate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1465	G6986	PWY0-1465	D-malate degradation
MANNCAT-PWY	EG10566 // EG10569 // EG10568 // EG10567 // EG10788	MANNCAT-PWY	D-mannose degradation I
PWY0-1535	EG10249	PWY0-1535	D-serine degradation
SORBDEG-PWY	EG10971	SORBDEG-PWY	D-sorbitol degradation II
XYLCAT-PWY	EG11075 // EG11074	XYLCAT-PWY	D-xylose degradation I
PWY0-1468	G7826 // G7827	PWY0-1468	DcuSR Two-Component Signal Transduction System, C<sub>4</sub>-dicarboxylate-dependent
PWY-5852	EG11880	PWY-5852	demethylmenaquinol-8 biosynthesis I
PWY-5785	G6092 // EG11665 // G6439 // EG10705	PWY-5785	di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis
PWY0-1499	G6346 // G6345	PWY0-1499	DpiBA Two-Component Signal Transduction System
DTDPRHAMSYN-PWY	EG11979 // EG12411 // EG11978 // EG11454 // EG12412 // EG12144	DTDPRHAMSYN-PWY	dTDP-&beta;-L-rhamnose biosynthesis
PWY-7315	EG11455 // EG11456 // EG11978 // EG11454 // EG12412 // EG11453	PWY-7315	dTDP-<i>N</i>-acetylthomosamine biosynthesis
ECASYN-PWY	EG11458 // G7800 // EG10840 // EG11486 // EG11457	ECASYN-PWY	enterobacterial common antigen biosynthesis
ENTBACSYN-PWY	EG10261 // EG10259 // EG12221 // EG10247 // EG10262 // EG10263 // EG10260 // EG10264	ENTBACSYN-PWY	enterobactin biosynthesis
ENTNER-DOUDOROFF-PWY	EG10256 // EG10257	ENTNER-DOUDOROFF-PWY	Entner-Doudoroff shunt
PWY0-1500	EG10269 // EG10672	PWY0-1500	EnvZ/OmrR Two-Component Signal Transduction System
ETOH-ACETYLCOA-ANA-PWY	G6775 // G7285 // EG10031 // M014	ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I
PWY0-1477	EG50006 // EG50007 // G7285 // M014 // EG20173 // G7288 // EG10027 // EG11809 // EG10031 // G6775	PWY0-1477	ethanolamine utilization
PWY0-1280	EG10035 // EG10351	PWY0-1280	ethylene glycol degradation
PWY0-1490	EG11609 // EG11610	PWY0-1490	EvgSA Two-Component Signal Transduction System
FAO-PWY	G6105 // EG11530 // EG12357 // EG10278 // G7213 // EG10279 // G7212	FAO-PWY	fatty acid &beta;-oxidation I (generic)
PWY-4381	EG11317 // EG10277 // EG11647 // EG10217 // EG50003	PWY-4381	fatty acid biosynthesis initiation (type II)
PWY-5966	EG12606 // EG10274 // EG10277 // EG50003	PWY-5966	fatty acid biosynthesis initiation II
PWY-5965	EG12606 // EG10274 // EG50003	PWY-5965	fatty acid biosynthesis initiation III
FASYN-ELONG-PWY	EG10273 // EG11284 // EG11318 // EG10274 // EG12606 // EG11528 // EG50003	FASYN-ELONG-PWY	fatty acid elongation -- saturated
RIBOSYN2-PWY	EG11079 // EG11406 // EG11322 // G6442 // EG11202 // EG10465 // EG11321 // EG11331	RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
PWY-2161	EG10408 // EG10327	PWY-2161	folate polyglutamylation
1CMET2-PWY	EG10326 // G6862 // EG11158 // EG10585 // EG10587 // EG10543 // EG11810 // EG10371 // EG11442 // EG10328 // EG10408 // EG11002	1CMET2-PWY	folate transformations III (<i>E. coli</i>)
PWY-1801	G6208 // EG12026 // EG50010	PWY-1801	formaldehyde oxidation II (glutathione-dependent)
PWY0-1356	EG11227 // EG11228 // EG11229 // EG11858 // EG11857 // EG11856 // EG10232 // EG10233 // EG10234	PWY0-1356	formate to dimethyl sulfoxide electron transfer
PWY0-1585	EG11227 // EG11228 // EG11229 // EG11858 // EG11857 // EG11856 // EG11947 // EG11946 // EG11781	PWY0-1585	formate to nitrite electron transfer
PWY0-1355	EG11227 // EG11228 // EG11229 // EG11858 // EG11857 // EG11856 // EG11815 // EG11814	PWY0-1355	formate to trimethylamine <i>N</i>-oxide electron transfer
PWY0-1314	EG10337	PWY0-1314	fructose degradation
PWY0-521	G7723 // G7726 // G7724	PWY0-521	fructoselysine and psicoselysine degradation
FUCCAT-PWY	EG10348 // EG10350 // EG10349 // EG10355	FUCCAT-PWY	L-fucose degradation I
GALACTITOLCAT-PWY	EG10700 // EG12768 // EG12419 // EG12417 // EG12416 // EG12415 // EG12414	GALACTITOLCAT-PWY	galactitol degradation
GALACTMETAB-PWY	EG10363 // EG10366 // EG10362 // EG11319 // EG11698	GALACTMETAB-PWY	galactose degradation I (Leloir pathway)
PWY-66	EG11787 // EG11788	PWY-66	GDP-L-fucose biosynthesis I (from GDP-D-mannose)
PWY-5659	G7463 // EG10702 // EG10566 // EG10162 // EG10161	PWY-5659	GDP-mannose biosynthesis
PWY0-1503	EG11285 // G7345	PWY0-1503	GlrKR Two-Component Signal Transduction System
GLUCONEO-PWY	G7463 // EG10702 // EG10283 // EG11517 // EG11239 // EG11245 // EG10282 // G7129 // EG10367 // EG10703 // EG12296 // EG10258 // EG10688 // EG10576 // EG10759 // EG10948 // G7293 // EG11015	GLUCONEO-PWY	gluconeogenesis I
GLUCOSE1PMETAB-PWY	EG11470 // EG11195 // G6425 // EG11850 // EG12144 // EG12957 // EG10369	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation
GLUTATHIONESYN-PWY	EG10418 // EG10419	GLUTATHIONESYN-PWY	glutathione biosynthesis
GLUT-REDOX-PWY	EG11297 // EG10417 // G7401 // EG12688 // EG12294	GLUT-REDOX-PWY	glutathione-glutaredoxin redox reactions
PWY-4121	EG12882	PWY-4121	glutathionylspermidine biosynthesis
PWY0-381	EG10398 // EG10399 // EG11050 // EG10394 // EG10391 // EG10392 // EG10393	PWY0-381	glycerol and glycerophosphodiester degradation
PWY-4261	EG10398 // EG10394 // EG10391 // EG10392 // EG10393	PWY-4261	glycerol degradation I
GLYCEROLMETAB-PWY	EG11904 // G6627 // G6626 // EG12399	GLYCEROLMETAB-PWY	glycerol degradation V
PWY0-1561	EG10394 // EG10181 // EG10178 // EG10179 // EG10180	PWY0-1561	glycerol-3-phosphate to cytochrome <i>bo</i> oxidase electron transfer
PWY0-1582	EG10391 // EG10392 // EG10393 // EG10330 // EG10331 // EG10332 // EG10333	PWY0-1582	glycerol-3-phosphate to fumarate electron transfer
PWY0-1591	EG10391 // EG10392 // EG10393 // EG12244	PWY0-1591	glycerol-3-phosphate to hydrogen peroxide electron transport
PWY-6952	EG10399 // EG11050 // EG10394 // EG10391 // EG10392 // EG10393	PWY-6952	glycerophosphodiester degradation
BETSYN-PWY	EG10109 // EG10110	BETSYN-PWY	glycine betaine biosynthesis I (Gram-negative bacteria)
GLYSYN-PWY	EG10408	GLYSYN-PWY	glycine biosynthesis I
GLYCLEAV-PWY	EG10543 // EG11810 // EG10371 // EG11442	GLYCLEAV-PWY	glycine cleavage
GLYCOGENSYNTH-PWY	EG10377 // EG10378 // EG10379 // EG12144	GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOCAT-PWY	EG10561 // EG10380 // EG10381 // EG10565 // EG12144 // EG12957 // EG10560	GLYCOCAT-PWY	glycogen degradation I
GLYCOLATEMET-PWY	EG11583 // EG11175 // G6283 // G7545 // G7544 // G0-8601 // EG11176	GLYCOLATEMET-PWY	glycolate and glyoxylate degradation I
GLYOXDEG-PWY	EG20080 // G7545 // G7544 // G0-8601	GLYOXDEG-PWY	glycolate and glyoxylate degradation II
GLYCOLYSIS	EG10803 // EG10804 // EG10258 // EG12296 // EG10703 // EG10367 // EG11015 // EG10282 // G7129 // EG10700 // EG10699 // G7463 // EG10702 // EG10759 // EG10283 // EG11517 // EG11239 // EG11245 // EG11699 // EG10787 // EG10165 // EG10569 // EG10568 // EG10567 // EG10115	GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)
PWY-5484	EG10803 // EG10804 // EG10258 // EG12296 // EG10703 // EG10367 // EG11015 // EG10282 // G7129 // EG10700 // EG10699 // EG10759 // EG10283 // EG11517 // EG11239 // EG11245 // EG10727 // EG11699	PWY-5484	glycolysis II (from fructose 6-phosphate)
GLYOXYLATE-BYPASS	EG10948 // EG10576 // EG10023 // EG10022 // EG10402 // EG11325 // EG12316	GLYOXYLATE-BYPASS	glyoxylate cycle
PWY-6620	EG10414 // EG20098 // EG10222 // G85 // EG12159	PWY-6620	guanine and guanosine salvage I
PWY-6618	EG11102	PWY-6618	guanine and guanosine salvage III
PWY-7222	EG10660 // EG10661 // EG11417 // EG20257 // EG12381 // EG10650 // EG10032 // EG11031 // EG11887 // G7401	PWY-7222	guanosine deoxyribonucleotides <i>de novo</i> biosynthesis II
PWY-6608	G7502 // EG11934 // EG10634 // EG11817 // G7742 // G7485 // G7486 // G7487 // EG10222 // G85 // EG12159	PWY-6608	guanosine nucleotides degradation III
PWY-7221	EG10421 // EG10420 // EG10965 // EG10650 // EG10032	PWY-7221	guanosine ribonucleotides <i>de novo</i> biosynthesis
PWY-5964	EG11829	PWY-5964	guanylyl molybdenum cofactor biosynthesis
HEMESYN2-PWY	EG10431 // EG11543 // EG11836 // EG11485	HEMESYN2-PWY	heme <i>b</i> biosynthesis II (oxygen-independent)
HEME-BIOSYNTHESIS-II-1	EG11543 // EG10431 // EG12189 // EG11485	HEME-BIOSYNTHESIS-II-1	heme <i>b</i> biosynthesis V (aerobic)
PWY0-1588	G7057 // G7056	PWY0-1588	HprSR Two-Component Signal Transduction System
PWY0-1577	EG10232 // EG10233 // EG10234 // EG11801 // G7554 // EG11800 // EG11799	PWY0-1577	hydrogen to dimethyl sulfoxide electron transfer
PWY0-1576	EG10330 // EG10331 // EG10332 // EG10333 // EG11801 // G7554 // EG11800 // EG11799	PWY0-1576	hydrogen to fumarate electron transfer
PWY0-1578	EG11815 // EG11814 // EG11801 // G7554 // EG11800 // EG11799	PWY0-1578	hydrogen to trimethylamine N-oxide electron transfer
PWY-6910	G7259 // G7135	PWY-6910	hydroxymethylpyrimidine salvage
PWY-6123	EG10791 // EG11314 // EG10795 // EG10793 // EG10796	PWY-6123	inosine-5'-phosphate biosynthesis I
KDOSYN-PWY	EG10520	KDOSYN-PWY	Kdo transfer to lipid IV<sub>A</sub> (<i>E. coli</i>)
PWY0-1495	EG10517 // EG10516	PWY0-1495	KdpDE Two-Component Signal Transduction System, potassium-dependent
KETOGLUCONMET-PWY	G7892 // EG12152 // G7893 // EG11648 // G7565 // EG12272	KETOGLUCONMET-PWY	ketogluconate metabolism
ALANINE-VALINESYN-PWY	EG10497 // EG10107	ALANINE-VALINESYN-PWY	L-alanine biosynthesis I
ALANINE-SYN2-PWY	G7184 // G7242	ALANINE-SYN2-PWY	L-alanine biosynthesis II
PWY0-1021	G7325 // G6906 // G1	PWY0-1021	L-alanine biosynthesis III
ALADEG-PWY	EG10564 // EG10583 // EG10001 // EG11408 // EG11407	ALADEG-PWY	L-alanine degradation I
ARABCAT-PWY	EG10052 // EG10055 // EG10053	ARABCAT-PWY	L-arabinose degradation I
ARGSYN-PWY	EG10068 // EG11223 // EG10069 // EG10067 // EG10135 // EG10134 // EG10063 // EG10064 // EG10065 // EG10066 // EG10361 // EG11286	ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)
AST-PWY	G6943 // G6941 // G6944 // G6942 // G6940	AST-PWY	L-arginine degradation II (AST pathway)
PWY0-823	EG10959 // EG11501 // EG10960	PWY0-823	L-arginine degradation III (arginine decarboxylase/agmatinase pathway)
PWY0-301	G7859 // G7858 // G7860 // G7855 // EG12495 // EG12494 // G7856 // EG10788	PWY0-301	L-ascorbate degradation I (bacterial, anaerobic)
PWY-6961	EG12284 // EG12279 // EG12285 // EG12286 // EG12287	PWY-6961	L-ascorbate degradation II (bacterial, aerobic)
ASPARAGINE-BIOSYNTHESIS	EG10092	ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I
ASPARAGINESYN-PWY	EG10091 // EG10092	ASPARAGINESYN-PWY	L-asparagine biosynthesis II
ASPARAGINE-DEG1-PWY	EG10046 // EG10045 // EG12407	ASPARAGINE-DEG1-PWY	L-asparagine degradation I
ASPARTATESYN-PWY	EG10096	ASPARTATESYN-PWY	L-aspartate biosynthesis
PWY-8291	EG11225 // EG10383 // EG10095	PWY-8291	L-aspartate degradation II (aerobic)
PWY-8294	EG11225 // EG10006 // EG10095 // EG10383	PWY-8294	L-aspartate degradation III (anaerobic)
CARNMET-PWY	EG11560 // EG11559 // EG11558 // EG11557 // EG11561	CARNMET-PWY	L-carnitine degradation I
CYSTSYN-PWY	EG10187 // EG10192 // EG10193	CYSTSYN-PWY	L-cysteine biosynthesis I
PWY-7870	EG10193 // EG10187 // G7401 // EG10417 // EG12688 // EG12294	PWY-7870	L-cysteine biosynthesis VII (from <i>S</i>-sulfo-L-cysteine)
LCYSDEG-PWY	EG10583 // EG10564 // EG10192 // EG10193 // EG11005 // G7622	LCYSDEG-PWY	L-cysteine degradation II
PWY-5329	EG10096 // EG11600 // EG11031 // EG11887	PWY-5329	L-cysteine degradation III
PWY0-1306	G7945	PWY0-1306	L-galactonate degradation
GLUTSYN-PWY	EG10403 // EG10404 // EG10683 // EG10682 // EG11028 // EG11027	GLUTSYN-PWY	L-glutamate biosynthesis I
GLUTSYNIII-PWY	EG10372	GLUTSYNIII-PWY	L-glutamate biosynthesis III
GLUTDEG-PWY	EG10096 // EG10095	GLUTDEG-PWY	L-glutamate degradation II
PWY0-1305	EG50009 // EG11490	PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)
GLNSYN-PWY	EG10383	GLNSYN-PWY	L-glutamine biosynthesis I
GLUTAMINDEG-PWY	EG10810 // EG10420 // EG10450 // EG10448 // EG10403 // EG10404 // EG10683 // EG10682 // EG11028 // EG11027 // EG10092 // EG10135 // EG10134 // G6810 // G6261	GLUTAMINDEG-PWY	L-glutamine degradation I
HISTSYN-PWY	EG10447 // EG10446 // EG10445 // EG10450 // EG10448 // EG10444 // EG10451 // EG10449	HISTSYN-PWY	L-histidine biosynthesis
HOMOSERSYN-PWY	EG10550 // EG10088 // EG10998 // EG10590	HOMOSERSYN-PWY	L-homoserine biosynthesis
IDNCAT-PWY	G7892 // EG12152 // G7893	IDNCAT-PWY	L-idonate degradation
ILEUSYN-PWY	EG10496 // EG10497 // EG10495 // EG10500 // EG10499 // G8221 // EG10501 // EG10493	ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)
PWY0-1317	EG10035 // EG11963	PWY0-1317	L-lactaldehyde degradation (aerobic)
PWY0-1315	EG10351	PWY0-1315	L-lactaldehyde degradation (anaerobic)
LEUSYN-PWY	EG11577 // G6986 // EG10497 // EG11040 // EG11226 // EG11576 // EG11575	LEUSYN-PWY	L-leucine biosynthesis
